Short Description,regex,Attempt Regex,ChatGPT Output
non isolated 'b',(a|(b*bb))*,(a*(bb+bbb)a*)*a*,"positive example: [""aabbaa"", ""bbaa"", ""aaabbbaa"", ""bb"", ""bbb"", ""aabbba""],  
negative example: [""abab"", ""aababba"", ""baa"", ""abbba"", ""aababaa""]"
Odd number of b's,(a*ba*b)*a*ba*,(a|aa|bb|bba|abb|bab|abab)*b,"positive example: [b, ab, abb, aab, bbab, ababb, ababab, aababab],  
negative example: [a, aa, bb, bba, bab, abab, aaa, bbb]"
An even number of 1's,(0|10*1)*,((0*)(1)(0*)(1))*,"positive example: [11, 0101, 001100, 101010, 0001100011], negative example: [0, 1, 00, 01, 10, 000, 001, 0100, 1001, 00001]"
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*)(bb)|a*(bb)*a*b,"positive example: [""ab"", ""aab"", ""abb"", ""aabb"", ""bb"", ""aabbb"", ""aabbaab""],  
negative example: [""ba"", ""b"", ""aa"", ""aaa"", ""bab"", ""abab"", ""bbab""]"
Every b followed by two or more a's,(a|baa)*,a*(baa+)|a*,"positive example: [""a"", ""aa"", ""baa"", ""baaa"", ""aaaa"", ""abaa"", ""aabaa""], negative example: [""b"", ""aba"", ""ba"", ""aab"", ""baab"", ""ab"", ""baaaaab""]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)(a|b))+aaa+,"positive example: [aabaaa, bbaaaa, abbaaaa, baaaaaa], negative example: [aaa, baa, abba, bbaa]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb|ab|ba)(b*)a*(aaa),"positive example: [aabbaaaa, abbbaaa, bbaaaa, abbaaa], negative example: [aaab, bbba, aabbb, ababaa]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b*baaa*b*b,"positive example: [bbaaab, aabbbaaab, bbaaaabbb], negative example: [aabba, bbaaab, aaabbb]"
An even number of 1's,(0|10*1)*,((11)*)?,"positive example: ["""", ""11"", ""1111"", ""111111""], negative example: [""1"", ""111"", ""11111"", ""1111111""]"
Every b followed by two or more a's,(a|baa)*,"a*ba{2,}","positive example: [baa, abaa, aabaa, aaaaaabaa], negative example: [b, ab, aab, aaab, aaaaab]"
Odd number of b's,(a*ba*b)*a*ba*,(a*b(bb)*)((a*b(bb)*)(a*b(bb)*))*,"positive example: [""ab"", ""abab"", ""abbbab"", ""abbbabbb"", ""abababab""],  
negative example: [""a"", ""b"", ""aba"", ""abbba"", ""ababba""]"
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*ba*b)+a*,"positive example: [""aba"", ""aabaa"", ""aababaa"", ""abababaa""], negative example: [""ab"", ""ba"", ""aaba"", ""baba""]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+(0*1+)*)|(0+(1*0+)*),"positive example: [1, 10, 101, 0, 01, 010, 110, 001, 1010, 0101],  
negative example: [11, 00, 111, 000, 1100, 0011, 1001, 0110, 1110, 0001]"
Every b followed by two or more a's,(a|baa)*,(a*)(baa(a*))(a*),"positive example: [""baa"", ""abaaa"", ""aaabaaaaa"", ""baaa"", ""aabaa""], negative example: [""b"", ""aba"", ""aab"", ""ba"", ""aaab""]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0|1)*0)|(1(0|1)*1)|0*,"positive example:[00, 010, 101, 0000, 1111, 0, 000],  
negative example:[01, 10, 011, 100, 0011, 1100, 1110]"
first and third,a(a|b)a(a|b)*,(aaa|aba)(a+b)*,"positive example: [aaaa, abaa, aaaab, abaab, aaaaab], negative example: [aa, ab, aab, abb, baa]"
At least one zero followed by 0 or more 1s,0+1*,0+1+,"positive example:[01, 0011, 000111], negative example:[1, 0, 1100]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|ab|ba|bb)aaa+,"positive example: [aaaaa, baaaaa, aabaaa, bbaaaa], negative example: [aaa, aab, bba, aaab, baba]"
non isolated 'b',(a|(b*bb))*,(bb|bbb)*(a)*(bb|bbb)*(a)*(bb|bbb)*,"positive example: [bbaa, bbbaa, bbabbaa, bbbabbaa, bbbaaabbb, bbaaabbb], negative example: [a, b, bba, bbba, bbbab, bbbabb]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a?b)*baa+(a?b)*b+,"positive example: [baabbaaab, baaabbaaab, baaabbb, baaabbaaabb], negative example: [baa, abbaa, bbaaab, baaabba]"
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101],  
negative example: [0, 11, 101, 110, 1001, 1010, 1100, 1111, 10101, 11110, 11001]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*|b*)(baa)(a*|b*)b,"positive example: [ ""baaab"", ""aabaaab"", ""bbbaaab"", ""baab"", ""aaabaaab"" ]  
negative example: [ ""baa"", ""abaa"", ""baaabb"", ""aabaa"", ""baaaba"" ]"
Every b followed by two or more a's,(a|baa)*,(a*)(b(aa))*,"positive example: [""aaabaa"", ""baa"", ""b"", ""aabaa""], negative example: [""ab"", ""aba"", ""aaba"", ""bbaa""]"
non isolated 'b',(a|(b*bb))*,a*bb+a*,"positive example: [bb, abb, aabba, bba, abbba], negative example: [a, b, aba, bab, abab]"
Odd number of b's,(a*ba*b)*a*ba*,a*b(bb|a|bab)*,"positive example: [ab, aab, abb, aabbb, aabab, aabbab], negative example: [b, aa, bbb, aba, bab, aaba]"
even prefix,(ab|ba)*,(ab)*|(ba)*|(a(bb)a)*|(b(aa)b)*|(baabab)*|(baabba)*,"positive example: [ab, ba, aabba, baaab, baabab, baabba, abab, baba, aabbaabba, baaabaaab],  
negative example: [a, b, aa, bb, aba, bab, abba, baaa, baaba, aabbba]"
non isolated 'a',(b|(a*aa))*,b*(b*|a+ab*|aa+b*)b*(b*|aa+b*|a+ab*)b*(b*|aa+b*|a+ab*)b*,"positive example: [""b"", ""bb"", ""bbb"", ""ab"", ""aab"", ""aaab"", ""ba"", ""bba"", ""bbba"", ""aba"", ""aaba"", ""aaaba""],  
negative example: [""a"", ""aa"", ""aaa"", ""bab"", ""baba"", ""abab"", ""aabb"", ""baa"", ""bbaa"", ""abaa"", ""aabaa"", ""aaabaa""]"
Every b followed by two or more a's,(a|baa)*,(ba+a+a*)*,"positive example: [baaa, baaaa, baba, baaabaa, baaabaaaa], negative example: [aa, b, aab, ba, aaaa]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b+a+a+a*b+,"positive example: [""aabbaa"", ""bbbaaab"", ""aaabbaaab"", ""abbaa"", ""baaab""],  
negative example: [""abab"", ""baa"", ""aab"", ""bba"", ""abbaab""]"
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*|(bb)*),"positive example: [""ba"", ""abba"", ""aabbba"", ""aabbb"", ""aaaabbbbb""],  
negative example: [""b"", ""abb"", ""aab"", ""baa"", ""bbab""]"
Odd number of b's,(a*ba*b)*a*ba*,a*ba*(a*ba*ba*),"positive example: [""ba"", ""bba"", ""abba"", ""aabaa"", ""babaa""], negative example: [""a"", ""b"", ""aa"", ""bb"", ""aba""]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0|1|(0(0|1)*0)|(1(0|1)*1),"positive example: [0, 1, 00, 11, 010, 101, 0110, 1001], negative example: [01, 10, 001, 110, 0101, 1010]"
Odd number of b's,(a*ba*b)*a*ba*,a*b(bb)*a*,"positive example: [ab, aab, abbb, aabbb, aabbba], negative example: [b, bb, bbba, aba, abab]"
non isolated 'b',(a|(b*bb))*,(a|b)bb(a|b),"positive example: [abba, bbba, abbb, bbbb], negative example: [a, b, aba, bba, abab, baba]"
An even number of 1's,(0|10*1)*,0|(10*1),"positive example:[0, 10, 101, 1001, 10001], negative example:[1, 01, 110, 1010, 10011]"
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)|(1011110)|(1011011)|(1011000),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110, 10011, 10000, 11001, 11010, 11100, 00001, 00010, 00111, 00100, 01101, 01110, 01011, 01000, 101001, 101010, 101111, 101100, 100101, 100110, 100011, 100000, 110001, 110010, 110111, 110100, 111011, 111000, 111101, 111110, 000001, 000010, 000111, 000100, 001101, 001110, 001011, 001000, 011001, 011010, 011111, 011100, 010101, 010110, 010011, 010000, 101001, 1010001, 1010010, 1010111, 1010100, 1011101, 1011110, 1011011, 1011000],  
negative example: [11, 110, 101, 1001, 1100, 000, 1010, 10100, 10001, 11000, 11110, 00000, 00101, 01100, 01010, 101000, 1011001, 1011010, 1011100, 1011111, 100001, 100010, 100100, 110011, 110101, 111001, 111010, 000011, 000101, 001001, 011101, 010001, 1010000, 1010011, 1010101, 1010110, 1011001, 1011010, 1011100, 1011111]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)(baa)b,"positive example: [abaa, bbaa], negative example: [aa, abab, bba, aaaa]"
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110, 10011, 10000, 11001, 11010], negative example: [0, 11, 101, 110, 1001, 1010, 1100, 1111, 11110, 111111, 10100, 10010, 11000, 11101, 111000]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a+)|((b+))+((a*)+),"positive example: [a, aa, b, bb, aaa, bbb, aba, bba, aab, baa, abba, baaa, aabb, bbba],  
negative example: [c, ac, bc, abc, bca, cab, aacb, bbac, aabc, bbaa, abcc, bcaa, aabcc, bbbca]"
Odd number of 1s,0*10*(10*10*)*,1,"positive example: [abc, aab, bbc, ccc], negative example: [abcd, aa, b, cc]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0*))|(0(0*11*00*)*)|(1(1*))|(1(1*00*11*)*),"positive example: [0, 00, 000, 1, 11, 111, 01100, 011100, 10011, 1001100],  
negative example: [01, 10, 0011, 1100, 0110, 1001, 000111, 111000]"
Length 1 or More,(0|1)(0|1)*,0|1+0|1,"positive example: [0, 1, 10, 01, 11, 000, 111, 101, 010], negative example: [2, 00, 11, 011, 110, 1111, 0000, 1010, 0101]"
non isolated 'a',(b|(a*aa))*,(b*(ba+ab)b*)*,"positive example: [bbab, bbaab, abab, babb, babab], negative example: [bba, abba, baba, aab, bbba]"
non isolated 'b',(a|(b*bb))*,a*(bb|bbb|bbbb|bbbbb)*,"positive example: [""a"", ""bb"", ""bbb"", ""bbbb"", ""bbbbb"", ""aabbb"", ""aaaabbbb"", ""bbbbbb"", ""aabbbbb"", ""aaaaa""],  
negative example: [""b"", ""ab"", ""ba"", ""aabba"", ""abab"", ""bab"", ""bbbaa"", ""abbbba"", ""aabab"", ""baba""]"
non isolated 'b',(a|(b*bb))*,(a*(bb+|b+b)*a)*,"positive example: [""a"", ""aa"", ""aba"", ""abba"", ""abbba"", ""aabbaa"", ""ababab"", ""abbaabba""], negative example: [""b"", ""bb"", ""bbb"", ""abab"", ""baba"", ""abababab"", ""bbaa"", ""aab""]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*baa(a*)b,"positive example: [baaab, abbaaab, bbaaab, aabaaab], negative example: [abaab, baba, aaab, bbaab]"
non isolated 'b',(a|(b*bb))*,(bb+a)*,"positive example: [bb, bba, bbbbaa, bbbba, bbba], negative example: [a, ba, ab, baba, baa]"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,(01?)+1*(1?0)+,"positive example: [0110110, 010110, 01110, 01010, 01100], negative example: [0101, 1100, 0011, 1010, 1001]"
Every b followed by two or more a's,(a|baa)*,a*(baa)*,"positive example: [a, aa, baa, abaabaa, aaaaa, baaabaa], negative example: [b, ab, ba, aab, baaa, abaaba]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+0*1+)*|(0+1*0+)*|0|1,"positive example: [""101"", ""1101"", ""000"", ""1110"", ""0"", ""1"", ""010"", ""1001"", ""0110""],  
negative example: ["""", ""2"", ""a"", ""01a"", ""1010b"", ""0011c"", ""10d"", ""e"", ""f11""]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0+1*0+)*|(1+0*1+)*,"positive example: [ ""010"", ""101"", ""01010"", ""10101"", ""001100"", ""110011"", ""0101010"", ""1010101"" ],  
negative example: [ ""00"", ""11"", ""000"", ""111"", ""0110"", ""1001"", ""0011"", ""1100"" ]"
Every b followed by two or more a's,(a|baa)*,((b?aaa*)*)|a*,"positive example: [aaa, baaaa, a, aaaabaaaa, baaabaa], negative example: [bb, ab, ba, bba, bbb]"
first and third,a(a|b)a(a|b)*,aaa|aba,"positive example: [aaa, aba], negative example: [aab, baa, abb, bab]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,aba{3},"positive example: [abaaa, abaabaaa, abaaabaaa], negative example: [aba, abaa, abaabaa]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(01*0)*|(1+0*1*0*1+),"positive example: [""010"", ""010010"", ""110"", ""1010"", ""111010""], negative example: [""00"", ""11"", ""101"", ""0101"", ""1001""]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,[ab]*(baa)[a]*b+,"positive example: [baaab, abbaaab, aabaaab], negative example: [abab, baa, aabaaa]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0|1|1(0|1)*1|0(0|1)*0,"positive example: [0, 1, 10, 11, 100, 101, 110, 111, 010, 011, 000, 001],  
negative example: [00, 01, 1000, 1101, 1010, 0101, 1110, 0001]"
first and third,a(a|b)a(a|b)*,(aaa|aba)(a|b)(a+b)*,"positive example: [aaaa, aabaa, abaaa, ababa], negative example: [aa, aba, aab, abab]"
Every b followed by two or more a's,(a|baa)*,"a?(ba{2,})?","positive example: [""baa"", ""abaa"", ""baabaa"", ""baaaa"", ""a""], negative example: [""b"", ""aa"", ""aba"", ""ba"", ""abaaa""]"
Odd number of b's,(a*ba*b)*a*ba*,b(a*|(bb)*)|a*b(a*|(bb)*),"positive example: [""ba"", ""bb"", ""baa"", ""bbbb"", ""ab"", ""abbb"", ""aba"", ""abbbbb""],  
negative example: [""a"", ""b"", ""aa"", ""bbb"", ""abab"", ""bab"", ""baab"", ""abba""]"
non isolated 'b',(a|(b*bb))*,a*(b*bbb*)*a*(b*bbb*)*a*,"positive example: [""a"", ""bb"", ""abbba"", ""aaabbbbaa"", ""bbbbbbbb"", ""aabbbaabbbaa""],  
negative example: [""b"", ""ab"", ""ba"", ""abab"", ""bbba"", ""aabbaa""]"
Length 1 or More,(0|1)(0|1)*,(0|1)0*,"positive example: [0, 1, 00, 000, 10, 100, 1000], negative example: [01, 11, 101, 010, 110]"
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),[0-1][0-1],"positive example:[00, 01, 10, 11], negative example:[0, 1, 000, 111, 010, 101]"
Every b followed by two or more a's,(a|baa)*,aa*|baa,"positive example: [aa, aaa, baa], negative example: [a, b, aba]"
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100],  
negative example: [0, 11, 101, 110, 1001, 1010, 1100, 0000, 0110, 10101, 1111, 11110, 00001, 0101, 10000, 11001]"
Odd number of b's,(a*ba*b)*a*ba*,a*(b(bb)*)a*,"positive example: [""aabbba"", ""bbba"", ""aabbbbaa"", ""bb"", ""abbba""], negative example: [""aba"", ""aababaa"", ""aabbaa"", ""abab"", ""aabaa""]"
An even number of 1's,(0|10*1)*,0*|(0*10*1)*,"positive example:["""", ""0"", ""00"", ""1"", ""01"", ""001"", ""11"", ""011"", ""0011"", ""101"", ""0101"", ""001011""],  
negative example:[""2"", ""01a"", ""10"", ""100"", ""110"", ""111"", ""0110"", ""00110"", ""1010""]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(1+0*1+)|(0+1*0+),"positive example: [101, 1101, 0011, 100, 0110], negative example: [0, 1, 00, 11, 010]"
Odd number of b's,(a*ba*b)*a*ba*,a*(bb)*a*b(bb)*,"positive example: [""aabbba"", ""bbab"", ""aabbb"", ""abbb"", ""bbbb""], negative example: [""aba"", ""bbaab"", ""aabba"", ""abab"", ""baa""]"
Every b followed by two or more a's,(a|baa)*,a*(baa)*((a)*(baa)*)a*,"positive example: [""a"", ""baa"", ""aabaa"", ""aaabaa"", ""baabaa"", ""aaa"", ""baaaaa"", ""abaa"", ""aabaaaa""],  
negative example: [""b"", ""ba"", ""aba"", ""aaba"", ""baab"", ""bab"", ""ab"", ""baaaaab"", ""aababaa""]"
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),((0|1)(0|1))(0|1),"positive example: [000, 010, 101, 111], negative example: [00, 01, 10, 11, 0000, 0101, 1010, 1111]"
non isolated 'b',(a|(b*bb))*,(a*|(bbb)+)*,"positive example: ["""", ""a"", ""aaa"", ""bbb"", ""bbbbbb"", ""aaabbb"", ""bbbaaa"", ""abbbabbb"", ""aaaaabbbbbb""],  
negative example: [""b"", ""bb"", ""ab"", ""ba"", ""aab"", ""bba"", ""bbab"", ""bbbaaab"", ""ababab""]"
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)|(1011110)|(1011011)|(1011000)|(1001001)|(1001010),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110, 10011, 10000, 11001, 11010, 11100, 00001, 00010, 00111, 00100, 01101, 01110, 01011, 01000, 101001, 101010, 101111, 101100, 100101, 100110, 100011, 100000, 110001, 110010, 110111, 110100, 111011, 111000, 111101, 111110, 000001, 000010, 000111, 000100, 001101, 001110, 001011, 001000, 011001, 011010, 011111, 011100, 010101, 010110, 010011, 010000, 101001, 1010001, 1010010, 1010111, 1010100, 1011101, 1011110, 1011011, 1011000, 1001001, 1001010], negative example: [0, 11, 101, 110, 1001, 1010, 1100, 1111, 0000, 0011, 0101, 0110, 10001, 10100, 11000, 11101, 11110, 00000, 00101, 01001, 01100, 100001, 101000, 110000, 111001, 111100, 000000, 001001, 010001, 011000, 1000001, 1010000, 1100000, 1110001, 1111000, 0000000, 0010001, 0100001, 0110000]"
Odd number of b's,(a*ba*b)*a*ba*,a*b(a|bb|bab)*,"positive example: [ ""ba"", ""abab"", ""bbbbab"", ""aabbbab"", ""bababab"" ],  
negative example: [ ""b"", ""aa"", ""abba"", ""baba"", ""aabbba"" ]"
non isolated 'a',(b|(a*aa))*,(b+(aaa*))*,"positive example: [b, bbb, aaa, baaa, bbaaa, baaabaa, baaaabaaa], negative example: [a, aa, aab, bba, baba, baaab, abaa, aaaaab]"
Every b followed by two or more a's,(a|baa)*,(a|(baaa))*,"positive example: [a, baaa, aaaaa, baaabaaa, aaaabaaa], negative example: [b, aaab, baaaab, baa, abaa]"
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110),"positive example: [1, 111, 11111, 10, 1110, 01, 100, 001, 010, 1011, 1000, 1101, 0001, 0010, 0111, 0100, 10101, 10110],  
negative example: [11, 110, 101, 1001, 1100, 000, 0110, 1010, 1111, 10000, 1100, 0000, 01101, 10100, 11110, 10001, 11011, 10111]"
Every b followed by two or more a's,(a|baa)*,"([ab]a{2,})*","positive example: [aaa, aaaa, baaaa, aabaaa, baaabaa], negative example: [a, b, aa, aba, baa, ab, ba]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*b*)+(baa)(a*b*)b,"positive example: [abbaab, aabbaab, baaab, aabbaaab, baaabb], negative example: [abab, baaa, aab, ba, abbaa]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|ab|ba|bb)a*b*aaa+,"positive example: [aaaabbaaa, bbaabaaaa, aabaaaaa, abaaaaaa, baaaaaaa],  
negative example: [aaa, aabba, bbaa, abab, baba]"
even number of 1's,(0*10*10*)*|0*,(10*10*)*,"positive example: [10, 1010, 101010, 10101010, 1010101010], negative example: [1, 0, 100, 101, 1011, 10100]"
Odd number of 1s,0*10*(10*10*)*,(0*(11)*0*10*),"positive example: [""0"", ""11"", ""010"", ""110"", ""00110"", ""0001100"", ""1110""],  
negative example: [""1"", ""01"", ""101"", ""011"", ""1101"", ""00101"", ""1111""]"
non isolated 'b',(a|(b*bb))*,(a)*(bb)*(a)*(bbb)*(bb)*(a)*,"positive example: [""a"", ""bb"", ""aa"", ""abba"", ""abbba"", ""abbbba"", ""aabbbbbaa""],  
negative example: [""b"", ""ba"", ""bab"", ""abab"", ""ababab"", ""ababbba"", ""ababbbba""]"
4 | #0,1*(01*01*01*01*)*,(1*01*01*01*0)*|1*,"positive example: [""1101010"", ""101010"", ""11101010"", ""10101010"", ""1""], negative example: [""010101"", ""10101"", ""0000"", ""1010101"", ""0110""]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+0+)*1|(0+1+)*0,"positive example: [101, 010, 1101, 0010, 11101], negative example: [100, 011, 1010, 0101, 11100]"
Odd number of b's,(a*ba*b)*a*ba*,(a)*b(a*ba*b)*,"positive example: [ab, aba, abab, abaab, aaabaaab], negative example: [a, b, ba, aab, baa]"
An even number of 1's,(0|10*1)*,(0*10*10*)|0*,"positive example: [""0"", ""00"", ""10"", ""010"", ""00100"", ""10010"", ""000""],  
negative example: [""1"", ""01"", ""101"", ""110"", ""111"", ""0101"", ""1010""]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b*(baa)b*a*b,"positive example: [ ""aabbaabbaab"", ""bbbaaab"", ""aaabaaab"", ""baaab"", ""aabbaaab"" ], negative example: [ ""aabbaa"", ""baabaa"", ""aabba"", ""abbaab"", ""baa"" ]"
Odd number of b's,(a*ba*b)*a*ba*,((a)*b)(((a)*b){2})*,"positive example: [ababab, abab, abababab, ab, ababababab], negative example: [a, b, aa, bb, aab]"
3 | #b,a*(ba*ba*ba*)*,(a*ba*ba*b)*,"positive example: [ababab, bbb, aabaaabaaab, ababababab, aaabaaabaaab], negative example: [a, b, ab, ba, aabbaa]"
Length 1 or More,(0|1)(0|1)*,(1|0)0*1*,"positive example:[10, 001, 00011, 01, 111], negative example:[00, 11, 0110, 100, 1010]"
non isolated 'b',(a|(b*bb))*,a*(bb+)*a*|a*,"positive example: [""a"", ""aa"", ""bb"", ""aabba"", ""abbaa"", ""bbbb"", ""aabbbbaa"", ""aaaa""], negative example: [""b"", ""ab"", ""ba"", ""aba"", ""bab"", ""aab"", ""bba"", ""abab""]"
non isolated 'a',(b|(a*aa))*,(b*aa+b*|b*),"positive example: [""aa"", ""baa"", ""bbaa"", ""b"", ""bb""],  
negative example: [""a"", ""aba"", ""ba"", ""bba"", ""ab""]"
non isolated 'b',(a|(b*bb))*,(a+bbb*)*,"positive example: [a, abbb, aabbb, abbba, aabbbaabbb], negative example: [b, ab, bbb, abab, abbbab]"
non isolated 'b',(a|(b*bb))*,(a+bbb)*,"positive example: [a, abbb, aabbb, abbbabbb, aaaabbbabbb], negative example: [b, bb, bbbb, ab, aab, bbba]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a(a*))|(b(b*))(a*),"positive example: [a, aa, aaa, b, bb, bbb, aab, aabb, baa, bbaa], negative example: [ab, ba, aba, bab, aaba, baba, abba, bbaab]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb|ab|ba)(a*b*)a*b*(aaa),"positive example: [aabbaaa, bbaabaaa, abbaabaaa, baaabaaa],  
negative example: [aaabbb, bbaaab, ababab, baaaab]"
Every b followed by two or more a's,(a|baa)*,(a*(baa)*),"positive example: [a, aa, baa, abaabaa, aabaa], negative example: [b, ab, ba, aab, baaa]"
even number of 1's,(0*10*10*)*|0*,0|(11)*,"positive example: [""0"", ""11"", ""1111"", """", ""111111""], negative example: [""1"", ""01"", ""110"", ""1110"", ""011""]"
Odd number of b's,(a*ba*b)*a*ba*,([a]*(b)(bba|abb|bab|bb|a*)*),"positive example: [ab, aab, abb, bbba, aabab, aabb, bbab, babb, aaaabb], negative example: [b, ba, baa, bbaa, aaba, abbaa, bbaab, aabba, bbaaba]"
Odd number of b's,(a*ba*b)*a*ba*,(b(bb)*)|((a*)+b(bb)*),"positive example: [b, bbb, ab, aab, aabb, bbbbb, aaaab], negative example: [a, aa, aaa, aba, baba, abab, bbabb]"
Odd number of 1s,0*10*(10*10*)*,0+10+,"positive example: [010, 0010, 00010], negative example: [0, 10, 0100]"
even number of 1's,(0*10*10*)*|0*,0*|(0*|11)*|0*(11)*(0*10*1(0*|11)*)0*|10*110*1|(10*1)0*,"positive example: ["""", ""0"", ""00"", ""11"", ""0011"", ""0101"", ""101101"", ""0001101"", ""1001101""], negative example: [""1"", ""01"", ""10"", ""101"", ""110"", ""1001"", ""1010"", ""1100"", ""10001""]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+0*1+)*|(0+1*0+)*|0*|1*,"positive example: [""101"", ""010"", ""1101"", ""0010"", ""0"", ""1"", ""000"", ""111"", ""101010"", ""010101""],  
negative example: [""2"", ""01a"", ""102"", ""abc"", ""11a0"", ""0002"", ""101b"", ""a1b0"", ""120"", ""0112""]"
