Short Description,regex,Attempt Regex,ChatGPT Output
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a+b*a*|b*a*,"positive example: [aa, baa, aab, bbaa, a], negative example: [abab, baba, aabb, bb, aba]"
Odd number of b's,(a*ba*b)*a*ba*,(a|b(bb)*)*,"positive example: [a, b, abb, bbb, aabbb, bbba, abbba], negative example: [aa, ab, ba, baba, abab, bbaa, abbbba]"
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*b*)*,"positive example: [ab, aab, aabab, aabaaab, baaab], negative example: [a, b, aa, bb, aba]"
even prefix,(ab|ba)*,(ab|ba)*(aa|bb)*,"positive example: [ab, ba, aa, bb, abaa, babb, abba, baaa, bbaa, ababaa], negative example: [a, b, aba, bab, aab, bba, abab, baba, aaab, bbba]"
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(0+0+0)|(1+0+0)|(0+1+0)|(0+0+1)|(1+1+0)|(0+1+1)|(1+0+1)|(1+1+1)|(1+1)|(0+0)|(1+0)|(0+1),"positive example: [000, 100, 010, 001, 110, 011, 101, 111, 11, 00, 10, 01], negative example: [0, 1, 0000, 1111, 1010, 0101, 1100, 0011]"
non isolated 'b',(a|(b*bb))*,(b(b*)|a)*,"positive example: [""a"", ""bb"", ""ab"", ""bba"", ""aab"", ""bbbb"", ""abab"", ""bbaa""], negative example: ["""", ""c"", ""ac"", ""bc"", ""abc"", ""bac"", ""bbac"", ""aabbc""]"
non isolated 'b',(a|(b*bb))*,(a*|(b*bb*)*)*,"positive example: [ ""a"", ""aa"", ""b"", ""bb"", ""bbb"", ""ab"", ""aab"", ""ba"", ""bba"", ""abba"", ""aaabbb"", ""aabbbbaa"" ], negative example: [ ""c"", ""ac"", ""bc"", ""abc"", ""aac"", ""bbc"", ""abac"", ""aabbc"", ""abbbc"", ""aabcc"", ""abca"", ""aabcb"" ]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*0*1*)*(0*1*0*)*,"positive example: [ ""1010"", ""1100"", ""0011"", ""0000"", ""1111"", ""0101"", ""1001"", ""0110"", ""101010"", ""001100"" ],  
negative example: [ ""2"", ""a"", ""01a"", ""10b"", ""1102"", ""001a"", ""10101b"", ""01102"", ""a1010"", ""b0011"" ]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*0*1*)+(0*1*0*),"positive example: [""101"", ""010"", ""1001"", ""0110"", ""110011""],  
negative example: [""0011"", ""1100"", ""000111"", ""111000"", ""1010101""]"
Every b followed by two or more a's,(a|baa)*,(a)*(b|aa|a*)*,"positive example: [a, aa, b, ab, aab, aaa, ba, baa, aaaa, abaa], negative example: [c, ac, bc, abc, aac, bac, aabc, abac, aabb, abab]"
At least one a followed by one b,a+b,(a|b)*,"positive example: [a, b, aa, ab, ba, bb, aab, aba, bba, aabb], negative example: [c, ac, bc, abc, aac, bbc, aabcc]"
even prefix,(ab|ba)*,((a|b)(a|b))*,"positive example: [aa, bb, ab, ba, aaaa, abab, baba, bbaa], negative example: [a, b, aba, bba, aab, bbb, aabb, abba]"
At least one a followed by one b,a+b,[ab]*[a][b][ab]*,"positive example: [ab, aab, baba, aaab, abab], negative example: [b, bb, bbb, a, aaa]"
Odd number of b's,(a*ba*b)*a*ba*,(a|b|bb)+,"positive example: [a, b, bb, ab, ba, bba, abb, aab, bbb, abba],  
negative example: [c, aa, bbbbb, aaa, baba, abab, abbb, baaa, abbba, bbbaa]"
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)*(0|1)*(0|1)*,"positive example: [0, 1, 00, 01, 10, 11, 000, 001, 010, 011, 100, 101, 110, 111],  
negative example: [2, 3, 12, 20, 21, 22, 102, 120, 201, 210, 220, 221]"
first and third,a(a|b)a(a|b)*,a(a|b)+a(a|b)*,"positive example: [aaaa, abba, aabaa, ababa, aabba], negative example: [aa, ab, aaa, aba, aab]"
contains 'bab',(a|b)*(bab)(a|b)*,(bab)*(a|b)*(bab)*,"positive example: [bab, baba, babab, bababab, a, b, ab, ba, babababab], negative example: [aa, bb, aab, bba, aaa, bbb, abab, babaab]"
non isolated 'b',(a|(b*bb))*,(((b*bb*)|a)?)*,"positive example: ["""" , ""a"" , ""b"" , ""bb"" , ""bbb"" , ""ab"" , ""bba"" , ""bbba"" , ""abbb"" , ""aabbb""], negative example: [""c"" , ""baa"" , ""abab"" , ""baba"" , ""aaab"" , ""bbac"" , ""bca"" , ""acb"" , ""abc"" , ""bac""]"
Every b followed by two or more a's,(a|baa)*,(a)*((b|aa)*a*)*,"positive example: [""a"", ""aa"", ""aaa"", ""b"", ""ab"", ""aab"", ""aaba"", ""ba"", ""bba"", ""aaabaa""],  
negative example: [""c"", ""ac"", ""bc"", ""abc"", ""aac"", ""bb"", ""aabb"", ""abab"", ""baaab"", ""aaabbb""]"
At least one a followed by one b,a+b,a+b+,"positive example: [aaab, aabbb, aabb, abbb], negative example: [ab, baa, a, b]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)(a|b)*aaa*,"positive example: [aaa, baaa, aabaaa, bbaaaaa], negative example: [a, b, ab, ba, aab, bba, aaab, bbba]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,"(a|b)*(a|b)*a{3,}","positive example: [aaa, baaa, ababaaa, bbaaaaa, aabbaaa], negative example: [aa, ba, abba, bbab, aabba]"
Odd number of b's,(a*ba*b)*a*ba*,b*((a|b)*(a|b)*)*,"positive example: [b, bb, bbb, a, aa, ab, ba, bba, bab, aab, baa, abab, baba, bbaa, aaab, bbba, abba, babaab, bbaabb, ababab],  
negative example: [c, ac, bc, abc, bca, cab, bacc, aabbc, abac, bbcac, abbc, caab, cbba, bccab, abcc, bcaa, abcb, aacb, bacb, abcabc]"
Length 1 or More,(0|1)(0|1)*,(1|0)*|(0|1)*,"positive example: [""0"", ""1"", ""01"", ""10"", ""001"", ""110"", ""0101"", ""1010"", """", ""000"", ""111""],  
negative example: [""2"", ""a"", ""01a"", ""b10"", ""0012"", ""110b"", ""0101c"", ""1010d"", "" "", ""00e"", ""11f""]"
Odd number of b's,(a*ba*b)*a*ba*,(a|ab)*(a|ba)*(b|a)*,"positive example: [a, ab, aba, abab, aab, ba, baa, aabb, abba], negative example: [b, bb, bbb, aabbb, abababab, aaabbb, ababab, baba]"
At least one a followed by one b,a+b,a*b+,"positive example: [""ab"", ""aab"", ""aaab"", ""b"", ""bb"", ""aabb""], negative example: [""a"", ""ba"", ""aaba"", ""bba"", ""abab""]"
Every b followed by two or more a's,(a|baa)*,(a|b(aa*))*,"positive example: [a, ba, baa, aaa, aba, baaa, aaba, abaa], negative example: [b, ab, bb, aab, bab, bba, abab, babb]"
At least one a followed by one b,a+b,a*b*,"positive example: [""a"", ""b"", ""aa"", ""bb"", ""aab"", ""abb"", ""aabb""], negative example: [""ba"", ""aba"", ""bab"", ""abab"", ""baba""]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*(1+0+)*1*,"positive example: [""0"", ""1"", ""01"", ""001"", ""10"", ""100"", ""010"", ""0001"", ""111"", ""0111"", ""00111"", ""0000111""], negative example: ["""", ""2"", ""12"", ""021"", ""1012"", ""0012"", ""1102"", ""00012""]"
even prefix,(ab|ba)*,((ab)|(ba))*|(a|b)(a|b)*,"positive example: [ab, ba, abab, baba, a, b, aa, bb, aba, bab, aab, bba],  
negative example: [abc, bac, aaab, bbb, aaa, bbb, abababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababababab"
non isolated 'b',(a|(b*bb))*,(a|(b*bb*))*,"positive example: [""a"", ""bb"", ""abba"", ""bbbaa"", ""aaabbb""], negative example: [""b"", ""ba"", ""abab"", ""bbbaba"", ""aabab""]"
non isolated 'b',(a|(b*bb))*,(ab|ba|b|a)*,"positive example: [ab, ba, b, a, abba, baba, aab, baa, abab, bbaa], negative example: [aaab, bbb, ababab, babaab, aabba, bbaab, aaaa, bbbb, abbb, baaa]"
Odd number of 1s,0*10*(10*10*)*,((0|1))*,"positive example: [0, 1, 01, 10, 0011, 1100, 010101], negative example: [2, 00a, 1b, 0112, 101#]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*(aaa),"positive example: [aaa, aaaa, baaa, abaaa, bbaaa], negative example: [aa, ab, ba, bb, aba]"
non isolated 'b',(a|(b*bb))*,(bb)*(a|b)*(bb)*,"positive example: [bb, bba, bbab, a, ab, bbb, bbba, bbbab], negative example: [ba, aba, baba, aa, aab, bab, bbbb, bbbba]"
even prefix,(ab|ba)*,(a+b|b+a)*,"positive example: [ab, ba, abab, baba, abba, baab, aabba, bbaab], negative example: [aa, bb, aaa, bbb, aabb, bbaa, abaab, babba]"
At least one a followed by one b,a+b,(a|b)*(ab),"positive example: [ab, aab, bbab, abab, aabbab], negative example: [a, b, aa, bb, aba]"
even prefix,(ab|ba)*,(aa|ab|ba|ba)*,"positive example: [aa, ab, ba, aaaa, abab, baba, aaab, baaa, aaba, abaab], negative example: [a, b, bb, aab, abb, baa, bbb, aabba, abbb, baabba]"
At least one a followed by one b,a+b,(aa*b)*,"positive example: [aa, aab, aaaaab, aaaabaaaab], negative example: [b, ab, ba, aabba]"
non isolated 'b',(a|(b*bb))*,(a|((b|bb)+))*|a*,"positive example: [""a"", ""aa"", ""b"", ""bb"", ""ab"", ""bba"", ""bbbb"", ""abbb"", ""aab"", ""bbba""],  
negative example: [""c"", ""ac"", ""baa"", ""bbbca"", ""abac"", ""bbbc"", ""aabbc"", ""bca"", ""abbbd"", ""aabc""]"
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0*(0*1*)*0*,"positive example: [""0"", ""01"", ""001"", ""000"", ""010"", ""0010"", ""0000"", ""00100""],  
negative example: [""1"", ""10"", ""100"", ""101"", ""110"", ""111"", ""0110"", ""1001""]"
At least one a followed by one b,a+b,(a*)+b,"positive example: [ab, aab, aaab, b, aaaaaab], negative example: [ba, aba, aaba, aa, aaaa]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*(01)*1*0)*|(1*(10)*0*1)*,"positive example: [""0"", ""1"", ""01"", ""10"", ""0011"", ""1100"", ""0101"", ""1010"", ""000111"", ""111000"", ""010101"", ""101010""],  
negative example: [""011"", ""100"", ""0010"", ""1101"", ""00010"", ""11101"", ""0100"", ""1011"", ""00110"", ""11001""]"
even number of 1's,(0*10*10*)*|0*,0*(0*1+)*0*,"positive example: [""0"", ""1"", ""01"", ""001"", ""0001"", ""010"", ""0010"", ""00010"", ""000010"", ""0000010""],  
negative example: ["""", ""2"", ""a"", ""10"", ""11"", ""101"", ""110"", ""1001"", ""1010"", ""1100""]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*(aaa)+,"positive example: [aaa, aaaaa, baaa, aabaaa, bbaaa], negative example: [a, b, aa, ab, ba, bb, aab, aba, abb, baa, bab, bba, bbb]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)*(aaa)*,"positive example: [a, b, aaa, abaaa, bbaaa, aabbaaa, bbbaaa], negative example: [aa, bb, aab, bba, abab, baba, aabbaa]"
even prefix,(ab|ba)*,(bb|aa|(ab|ba)*)*((aa)*|(bb)*|(ab)*|(ba)*)*,"positive example: [bb, aa, abba, baba, aaaa, bbbb, abab, babaabba, aabbaa, bbaabb], negative example: [ab, ba, aab, bba, aba, bab, aabb, bbaa, abbb, baaa]"
even prefix,(ab|ba)*,(ab)*(ab|ba|aa|ab)*,"positive example: [ab, abab, abba, abaa, ababab, ababba, ababaa, abababab],  
negative example: [a, b, aba, baa, bab, baba, aab, bba]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,([ab]*(baa)*[ab]*)*b,"positive example: [ab, baaab, abaabaaab, baa, abaaab, bbaaab], negative example: [a, b, aa, bb, abab, baaa, abaabaaa]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*(1+0+)*|1*(0+1+)*,"positive example: [""0"", ""1"", ""00"", ""11"", ""01"", ""10"", ""000"", ""111"", ""010"", ""101"", ""0011"", ""1100"", ""0101"", ""1010""],  
negative example: [""2"", ""a"", ""01a"", ""1b0"", ""00c"", ""d11"", ""e0f"", ""g1h"", ""i01"", ""10j"", ""k00"", ""l11"", ""m01"", ""n10""]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a|b)*,"positive example: [a, b, aa, ab, ba, bb, aab, bba, abab, baba], negative example: [c, ac, bc, abc, aac, bbc, ca, cb, cba, acb]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)+aaa*,"positive example: [baaaa, aabaaa, bbaaaaa], negative example: [aa, bba, aabaa]"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|1*(0*1*)*1+|0*(1*0*)*0+,"positive example: ["""", ""0"", ""1"", ""000"", ""111"", ""01"", ""0011"", ""000111"", ""1010"", ""0101""],  
negative example: [""2"", ""01a"", ""10b"", ""00112"", ""abc"", ""0a1"", ""1b0"", ""a01"", ""b10"", ""001a1""]"
Odd number of b's,(a*ba*b)*a*ba*,b|(b|bbb|bbab|babb|a)*,"positive example: [b, bb, bbb, bbab, babb, a, ab, abb, abab, ababb, bba, bbba, bbbab, bbbabb, bab, baba, babab, bababb],  
negative example: [baa, abaa, bbaa, bbbaa, bbbba, abbaa, babaa, bbbaaa, abbaaa, bbbaaaa]"
Three Choices (Regex),001|1010|110,1*0*01*0*,"positive example: [100, 0010, 11000, 000, 1000], negative example: [101, 0101, 111, 0001, 1101]"
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),0*|0((11*0)|0)*|1((00*1)|1)*,"positive example: [""0"", ""00"", ""000"", ""1"", ""11"", ""111"", ""010"", ""001"", ""100"", ""110"", ""101"", ""011"", ""0011"", ""1100"", ""1010"", ""0101""],  
negative example: [""01"", ""10"", ""0010"", ""1101"", ""1011"", ""0110"", ""0001"", ""1110"", ""0100"", ""1001""]"
Odd number of 1s,0*10*(10*10*)*,((0*)1(0*))+,"positive example: [""101"", ""010"", ""1001"", ""0001000"", ""110001""], negative example: [""0"", ""1"", ""00"", ""11"", ""01010""]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a+|(a|b)*,"positive example: [""a"", ""aa"", ""aaa"", ""ab"", ""ba"", ""aab"", ""bba"", ""aabb""], negative example: ["""", ""b"", ""bb"", ""bbb"", ""aba"", ""bab"", ""abc"", ""bac""]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,b|(a*b*)*aaa,"positive example: [b, aaa, aabaa, baaa, aabbaaa], negative example: [ab, ba, aab, bba, aabab]"
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*a*)*,"positive example: [ba, aba, aabaa, baba, aababaa], negative example: [a, ab, baa, aab, aabba]"
even prefix,(ab|ba)*,((aa)*|(bb)*)((aa)*|(bb)*)*|(ba|ab)(ab|ba)*,"positive example: [aa, bb, aaaa, bbbb, ba, ab, baab, abba, aabbaa, bbaabb],  
negative example: [a, b, aba, bab, aab, bba, aabab, bbaba, aabbb, bbaaa]"
first and third,a(a|b)a(a|b)*,(a)(a|b)*,"positive example: [a, aa, ab, aaa, aab, aba, abb], negative example: [b, ba, bb, baa, bab, bba, bbb]"
At least one a followed by one b,a+b,(a|b)*b,"positive example: [b, ab, bb, aab, abb, bab, bbb, aaab, aabb, abab, abbb, baab, babb, bbab, bbbb], negative example: [a, aa, aaa, aaaa, baaa, abaa, aaba, aaab, bbaa, baba, baab, abba, abab, aabb, bbba, bbab, babb, abbb]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,[ab]*[baa][ab]*b,"positive example: [baab, aabab, baaaab, abbaab], negative example: [abab, bba, aaa, baba]"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|ba*)+b,"positive example: [ab, bab, baaab, aab, baab], negative example: [b, a, aa, bba, baaa]"
even prefix,(ab|ba)*,((ab)|(ba))*((a|b)(a|b))*,"positive example: [ababaa, babaab, abba, baab, ababab], negative example: [a, b, aba, baa, ababa]"
even prefix,(ab|ba)*,(ab|aa|bb|ba)*(a+b)*,"positive example: [abaa, bbaa, aabba, baaab, ababab], negative example: [abc, aabcc, bbaaac, abbaaab, aabbaabbc]"
At least one a followed by one b,a+b,a+b*,"positive example: [a, aa, aaa, ab, aab, aabb, aabbb], negative example: [b, bb, bbb, ba, baa, baaa, abab]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((((a|b)a*b))|((a|b)a*ba))*,"positive example: [""ab"", ""ba"", ""aab"", ""aba"", ""baa"", ""bb"", ""abab"", ""baba"", ""aaab"", ""aaba""],  
negative example: [""a"", ""b"", ""aa"", ""bbba"", ""abba"", ""babab"", ""aaa"", ""bbb"", ""abbba"", ""babaa""]"
Odd number of 1s,0*10*(10*10*)*,0*1(11)*(0|1)*,"positive example: [01, 0111, 01110, 0111101, 00011101], negative example: [1, 10, 1110, 0000, 111]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(a?)|((a|b)a*b(a?))*,"positive example: [""a"", ""b"", ""aa"", ""ab"", ""ba"", ""aaa"", ""aab"", ""aba"", ""bba"", ""aaab"", ""abab"", ""baba"", ""aabba"", ""ababa"", ""bbaba""], negative example: ["""", ""bb"", ""aabb"", ""abba"", ""bab"", ""bbaa"", ""bbab"", ""baab"", ""abaa"", ""babb"", ""aaba"", ""baaab""]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a(a)*|(ab)*b*a*,"positive example: [a, aa, aaa, ab, abb, aba, aab, abab, aabb], negative example: [b, ba, baa, abba, ababab, baba, abaa, aabba]"
Every b followed by two or more a's,(a|baa)*,a*(b+aaa*)*,"positive example: [""a"", ""b"", ""aa"", ""ab"", ""ba"", ""aaa"", ""aab"", ""aba"", ""baa"", ""aaaa"", ""aaab"", ""aaba"", ""abaa"", ""baaa"", ""aaaaa"", ""aaaab"", ""aaaba"", ""aabaa"", ""abaaa"", ""baaaa""],  
negative example: [""c"", ""ac"", ""bc"", ""aac"", ""abc"", ""bac"", ""aaac"", ""aabc"", ""abac"", ""baac"", ""aaaac"", ""aaabc"", ""aabac"", ""abaac"", ""baaac"", ""aaaaac"", ""aaaabc"", ""aaabac"", ""aabaac"", ""abaaac"", ""baaaac""]"
even prefix,(ab|ba)*,(bb|aa|aabb|abab|abba|baba|bbaa|baab)*(aa|bb|ab|ba)*,"positive example: [bbaa, aabb, ababab, bbaabb, aaabba, babaab, bbaaabba],  
negative example: [aaa, bbb, aabbaa, bbbaaa, abaabba, bbabab, aababba]"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(((a|b)+)+)aaa,"positive example: [aaa, baaa, abaaa, bbaaa, aabaaa, abbaaa], negative example: [aa, ba, aba, bba, aaba, abba]"
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*(b|ba))*,"positive example: [ab, aaab, bba, aba, aabba], negative example: [baa, baba, aabb, bbaa, aabab]"
non isolated 'b',(a|(b*bb))*,(a|b|bb)*,"positive example: [a, b, bb, ab, ba, bba, abb, aab, bbb, aa, aabb, baba],  
negative example: [c, ac, bc, abc, bbc, aabc, bbbcc, aaabbbccc]"
even number of 1's,(0*10*10*)*|0*,(0*(1+0*1+)*0*)*,"positive example: [""0"", ""1"", ""01"", ""10"", ""001"", ""100"", ""010"", ""101"", ""0000"", ""1111"", ""0101"", ""1010"", ""001100"", ""110011""],  
negative example: [""2"", ""12"", ""21"", ""0112"", ""120"", ""0012"", ""1102"", ""1020"", ""01121"", ""1201"", ""00112"", ""11021""]"
contains no 00 nor 11,1?(01)*0?,((1)?(0)?)*,"positive example: ["""", ""0"", ""1"", ""10"", ""01"", ""1010"", ""0101"", ""1100"", ""0011""], negative example: [""2"", ""00a"", ""11b"", ""abc"", ""10101x"", ""01010y""]"
even prefix,(ab|ba)*,((ab)*(ba)*)*|abb*a*b*ba,"positive example: [abba, ababba, abbaba, abababba, abbaabba, ababababba, abbabba, abababababba], negative example: [a, b, aba, bba, abab, bab, ababab, baba, abababab, babab]"
At least one a followed by one b,a+b,a|b*a*b,"positive example: [a, ab, aab, aaab, b, ba, bba, bbba], negative example: [aa, bb, aba, baa, abab, bbaa]"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a|b)*a(a|b)*|b*a*,"positive example: [a, b, aa, ab, ba, bb, aaa, aab, aba, baa, bba, bbb], negative example: [ε, b, bb, bbb, abab, baba, abba, baab]"
