shortdescription,regex,attemptregex
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a+b+a+b+aaa+a
Contains aaa regex,(a|b)*aaa(a|b)*,(a|b)*aaa(b)*
Odd number of 1s,0*10*(10*10*)*,(0*(0*10*10*)0*10*)
Odd number of b's,(a*ba*b)*a*ba*,a*b(a|(bb)|bab)*
Every b followed by two or more a's,(a|baa)*,(a)*(b)(aa)(a)*
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*b)*ba*
first and third,a(a|b)a(a|b)*,(aaa(a*b*)*)+(aba(a*b*)*)
Odd number of b's,(a*ba*b)*a*ba*,(a|bb|abab|bab|baab)*b(a|bb|abab|bab|baab)
non isolated 'b',(a|(b*bb))*,(a)*bb(b)*
contains 'bab',(a|b)*(bab)(a|b)*,(a+b)*(bab)(b+a)*
non isolated 'b',(a|(b*bb))*,a*(b+b+)a*
Odd number of 1s,0*10*(10*10*)*,0*1(10*1)*(0*(11)*)
non isolated 'b',(a|(b*bb))*,a*(bba*)*
Every b followed by two or more a's,(a|baa)*,a*((baa)*)+
non isolated 'b',(a|(b*bb))*,(bb+|b+b)*a*(bb+|b+b)*a*
Odd number of b's,(a*ba*b)*a*ba*,(a*(b)((a)*bb)*(a)*)
Odd number of b's,(a*ba*b)*a*ba*,a*b
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0(0*11*0)*(0?)|1(1*00*1)*(1?)|0*|1*
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)
Odd number of 1s,0*10*(10*10*)*,0*((10*)|(10*))
3 | #b,a*(ba*ba*ba*)*,(ba*bb)*|(bba*b)*|a*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*ba)*(a|b)a*b)?
Every b followed by two or more a's,(a|baa)*,(ba+a+)*
An even number of 1's,(0|10*1)*,((0*10*)(0*10*))*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(00*)|(11*)|(11*0*11*)*|(00*1*00*)*
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*b(a)*b(a)*)*
Every b followed by two or more a's,(a|baa)*,(a*|(baa))
non isolated 'b',(a|(b*bb))*,a*(bbb*)*a*(bbb*)*a*
Every b followed by two or more a's,(a|baa)*,(a*baaa*)*
Length 1 or More,(0|1)(0|1)*,(0|1)((0|1)+)
Odd number of b's,(a*ba*b)*a*ba*,a*b(a|b{2})*
non isolated 'b',(a|(b*bb))*,(a?)*(bb|bbb)*(a?)*
non isolated 'b',(a|(b*bb))*,((bb)*a*)*
3 | #b,a*(ba*ba*ba*)*,(ba*ba*ba*)*
Odd number of b's,(a*ba*b)*a*ba*,(a)*(ba*b)*b
Length 1 or More,(0|1)(0|1)*,0+0*|0+1*|1+0*|1+1*
even prefix,(ab|ba)*,ab
Odd number of b's,(a*ba*b)*a*ba*,(a)*b((a*)(bb))*
Every b followed by two or more a's,(a|baa)*,a*(baa)*a*
Odd number of b's,(a*ba*b)*a*ba*,(a*|(bb)*)*b(a*|(bb)*)*
even number of 1's,(0*10*10*)*|0*,((0)*1(0)*1(0)*)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1|0|(01*0)*|(10*1)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0*11*00*)*)|(1(1*00*11*)*)?
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0*011*100*)*)|((1*100*011*)*)|(0*)|(1*)
non isolated 'b',(a|(b*bb))*,a*bbb*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0|1)*0)|(1(0|1)*1)?
Odd number of b's,(a*ba*b)*a*ba*,(a|aa|bb|bba|abb|bab|abab)*(b|ba|ab)
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*|bb|ba*b)
Every b followed by two or more a's,(a|baa)*,((b)(a{2})a*)|(a*(b)(a{2})a*)
Odd number of b's,(a*ba*b)*a*ba*,(a|aa|bb|bba|abb|bab|abab)*(b(a)*|ba|ab|(b(a)*))
An even number of 1's,(0|10*1)*,(0*(10*1)0*)*
Odd number of b's,(a*ba*b)*a*ba*,(a)*(b)((a)*(bb)*)*
Odd number of b's,(a*ba*b)*a*ba*,a*b|a*ba*(bb)*a*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*|b*)baa+b
3 | #0,1*(01*01*01*)*,1|11|(1*01*01*01*)*
first and third,a(a|b)a(a|b)*,(aba)|(aaa)
non isolated 'a',(b|(a*aa))*,(b*|a+ab*|aa+b*)(b*|aa+b*|a+ab*)(b*|aa+b*|a+ab*)
Every b followed by two or more a's,(a|baa)*,"[ab]a{2,}"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0(0*11*0)*|1(1*00*1)*|0*|1*
Odd number of b's,(a*ba*b)*a*ba*,(a|bb)*(b)(a|bb)*
non isolated 'b',(a|(b*bb))*,a?(a|bb)*
non isolated 'b',(a|(b*bb))*,(a?)*(bb|bbb|abb|bba)*(a?)*
Odd number of 1s,0*10*(10*10*)*,0*10*(11)*0*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0+1+0+)*|(1+0+1+)*
Every b followed by two or more a's,(a|baa)*,"(a*b?a{2,})*"
Every b followed by two or more a's,(a|baa)*,"(a*|ba{2,})"
Odd number of 1s,0*10*(10*10*)*,0*1(0*10*1)*
even number of 1's,(0*10*10*)*|0*,(0*(1)0*(1))|(0*)
Odd number of 1s,0*10*(10*10*)*,(11)*0*1(11)*0*(11)*|1(11)*0*(11)*0*(11)*|(11)*0*(11)*0*1(11)*
Odd number of 1s,0*10*(10*10*)*,(0*1(0*10*1)*)
even number of 1's,(0*10*10*)*|0*,0*10*1(11)0*
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*(101)*1*)|(0*(010)*0*)
non isolated 'b',(a|(b*bb))*,(a*(bb+))*
4 | #0,1*(01*01*01*01*)*,(1*01*01*01*01*)*
even number of 1's,(0*10*10*)*|0*,((10*)10*)*
Every b followed by two or more a's,(a|baa)*,(a*)|(baa+)|(a*baa+)
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*|b*)*baaa*b+
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),((0|1)(0|1)(0|1))
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0*1*)*0|1(0*1*)*1)?
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1|0|(1+(0*1*)*1+)|(0+(1*0*)*0+)
Odd number of b's,(a*ba*b)*a*ba*,(aa|bb)*b
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*b)|(((a|b)a*ba)*))?
Length 1 or More,(0|1)(0|1)*,(0*1+)*(1*0+)+
Odd number of b's,(a*ba*b)*a*ba*,((bb)*a*(bb)*)ba*
non isolated 'b',(a|(b*bb))*,a*(bb|bbb)*a*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0(0*11*0)*|1(1*00*1)*
non isolated 'b',(a|(b*bb))*,(a)*(bb)*(bbb)*(a)*(bbb)*(bb)*(a)*
Odd number of b's,(a*ba*b)*a*ba*,a*b(a|abb|bab|bba)*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*ba)*)|(((a|b)a*b)?)
Odd number of b's,(a*ba*b)*a*ba*,(a|aa|bb|bba|abb|bab|abab)*(b|ba|ab|(b(a)*))
non isolated 'b',(a|(b*bb))*,(a*bb*ba*)+(a)*
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*)(bb)*
Odd number of b's,(a*ba*b)*a*ba*,ba*(ba*ba*)*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a+|b+)a+
Odd number of 1s,0*10*(10*10*)*,0*1(10*1)*0*
non isolated 'b',(a|(b*bb))*,a*|(b+b)|a*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb|ab|ba)(a*b*)a*b*(aaa)a*
Every b followed by two or more a's,(a|baa)*,(b)?(aa)[a]*
Odd number of b's,(a*ba*b)*a*ba*,(a)*(b(bb)*)
3 | #b,a*(ba*ba*ba*)*,(a*(ba*)a*(ba*)a*(ba*)a*)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b+aa(a|b)*b+
non isolated 'b',(a|(b*bb))*,a*(b+b)a*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,((a|b)*(baa)+)b
An even number of 1's,(0|10*1)*,(11)*|0*
Every b followed by two or more a's,(a|baa)*,"(ba{2,}){1,2}"
Length 1 or More,(0|1)(0|1)*,1
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)
non isolated 'b',(a|(b*bb))*,(a*(bb)*(a)*)*
3 | #b,a*(ba*ba*ba*)*,(ba*bb)*|(bba*b)*
even prefix,(ab|ba)*,((ab)*|(ba)*)|((ba)*|(ab)*)
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)
first and third,a(a|b)a(a|b)*,(aaa|aba)b|(aaa|aba)a
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*bb)*
Odd number of b's,(a*ba*b)*a*ba*,(a)*b(a|ba*b)
Length 1 or More,(0|1)(0|1)*,1(0*1*)
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),[0-1][0-1][0-1]
4 | #0,1*(01*01*01*01*)*,1*01*01*01*01*
contains 'bab',(a|b)*(bab)(a|b)*,(ab)*bab(ab)*
Length 1 or More,(0|1)(0|1)*,0*1+0*|1*0+1*
non isolated 'b',(a|(b*bb))*,(a*(bb)*a*)*
Odd number of 1s,0*10*(10*10*)*,0*1(10*1)*
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((((a|b)a*ba)*)|((a|b)a*b))?
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(ab|aa|bb|ba)aaaa*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(a|b)a*b(a|(a(a|b)a*b)*)
Odd number of b's,(a*ba*b)*a*ba*,a*b(bb)*
Every b followed by two or more a's,(a|baa)*,a*(baa)*((a)*(baa)*)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)a*b*(aaa)a*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0((0*1*)*)0)|(1((0*1*)*)1)
Odd number of b's,(a*ba*b)*a*ba*,(a|bb|bab)*b(a|bb|bab)*
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)
Odd number of 1s,0*10*(10*10*)*,(1(11)*)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0|1(0|1)*1|0(0|1)*0)?
non isolated 'b',(a|(b*bb))*,a*(a+bb)*(bb)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1*)|(0*)|(1+0+1+((1+0+1)|(0+1))*)|(0+1+0+((0+1+0)|(1+0))*)
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*)+baa+(a*)b
Odd number of b's,(a*ba*b)*a*ba*,(a|bb)+b
non isolated 'b',(a|(b*bb))*,(a|(bb)+)*|a*
non isolated 'b',(a|(b*bb))*,(a*(bb+bbb)a*)*a*
Odd number of b's,(a*ba*b)*a*ba*,(a|aa|bb|bba|abb|bab|abab)*b
An even number of 1's,(0|10*1)*,((0*)(1)(0*)(1))*
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*)(bb)|a*(bb)*a*b
Every b followed by two or more a's,(a|baa)*,a*(baa+)|a*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a|b)(a|b))+aaa+
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb|ab|ba)(b*)a*(aaa)
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b*baaa*b*b
An even number of 1's,(0|10*1)*,((11)*)?
Every b followed by two or more a's,(a|baa)*,"a*ba{2,}"
Odd number of b's,(a*ba*b)*a*ba*,(a*b(bb)*)((a*b(bb)*)(a*b(bb)*))*
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*ba*b)+a*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+(0*1+)*)|(0+(1*0+)*)
Every b followed by two or more a's,(a|baa)*,(a*)(baa(a*))(a*)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0|1)*0)|(1(0|1)*1)|0*
first and third,a(a|b)a(a|b)*,(aaa|aba)(a+b)*
At least one zero followed by 0 or more 1s,0+1*,0+1+
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|ab|ba|bb)aaa+
non isolated 'b',(a|(b*bb))*,(bb|bbb)*(a)*(bb|bbb)*(a)*(bb|bbb)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a?b)*baa+(a?b)*b+
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*|b*)(baa)(a*|b*)b
Every b followed by two or more a's,(a|baa)*,(a*)(b(aa))*
non isolated 'b',(a|(b*bb))*,a*bb+a*
Odd number of b's,(a*ba*b)*a*ba*,a*b(bb|a|bab)*
even prefix,(ab|ba)*,(ab)*|(ba)*|(a(bb)a)*|(b(aa)b)*|(baabab)*|(baabba)*
non isolated 'a',(b|(a*aa))*,b*(b*|a+ab*|aa+b*)b*(b*|aa+b*|a+ab*)b*(b*|aa+b*|a+ab*)b*
Every b followed by two or more a's,(a|baa)*,(ba+a+a*)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b+a+a+a*b+
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*|(bb)*)
Odd number of b's,(a*ba*b)*a*ba*,a*ba*(a*ba*ba*)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0|1|(0(0|1)*0)|(1(0|1)*1)
Odd number of b's,(a*ba*b)*a*ba*,a*b(bb)*a*
non isolated 'b',(a|(b*bb))*,(a|b)bb(a|b)
An even number of 1's,(0|10*1)*,0|(10*1)
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)|(1011110)|(1011011)|(1011000)
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)(baa)b
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a+)|((b+))+((a*)+)
Odd number of 1s,0*10*(10*10*)*,1
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0*))|(0(0*11*00*)*)|(1(1*))|(1(1*00*11*)*)
Length 1 or More,(0|1)(0|1)*,0|1+0|1
non isolated 'a',(b|(a*aa))*,(b*(ba+ab)b*)*
non isolated 'b',(a|(b*bb))*,a*(bb|bbb|bbbb|bbbbb)*
non isolated 'b',(a|(b*bb))*,(a*(bb+|b+b)*a)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*baa(a*)b
non isolated 'b',(a|(b*bb))*,(bb+a)*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,(01?)+1*(1?0)+
Every b followed by two or more a's,(a|baa)*,a*(baa)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+0*1+)*|(0+1*0+)*|0|1
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0+1*0+)*|(1+0*1+)*
Every b followed by two or more a's,(a|baa)*,((b?aaa*)*)|a*
first and third,a(a|b)a(a|b)*,aaa|aba
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,aba{3}
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(01*0)*|(1+0*1*0*1+)
Contains baa and ends with b.,(a|b)*baa(a|b)*b,[ab]*(baa)[a]*b+
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0|1|1(0|1)*1|0(0|1)*0
first and third,a(a|b)a(a|b)*,(aaa|aba)(a|b)(a+b)*
Every b followed by two or more a's,(a|baa)*,"a?(ba{2,})?"
Odd number of b's,(a*ba*b)*a*ba*,b(a*|(bb)*)|a*b(a*|(bb)*)
non isolated 'b',(a|(b*bb))*,a*(b*bbb*)*a*(b*bbb*)*a*
Length 1 or More,(0|1)(0|1)*,(0|1)0*
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),[0-1][0-1]
Every b followed by two or more a's,(a|baa)*,aa*|baa
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)
Odd number of b's,(a*ba*b)*a*ba*,a*(b(bb)*)a*
An even number of 1's,(0|10*1)*,0*|(0*10*1)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(1+0*1+)|(0+1*0+)
Odd number of b's,(a*ba*b)*a*ba*,a*(bb)*a*b(bb)*
Every b followed by two or more a's,(a|baa)*,a*(baa)*((a)*(baa)*)a*
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),((0|1)(0|1))(0|1)
non isolated 'b',(a|(b*bb))*,(a*|(bbb)+)*
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)|(10011)|(10000)|(11001)|(11010)|(11100)|(00001)|(00010)|(00111)|(00100)|(01101)|(01110)|(01011)|(01000)|(101001)|(101010)|(101111)|(101100)|(100101)|(100110)|(100011)|(100000)|(110001)|(110010)|(110111)|(110100)|(111011)|(111000)|(111101)|(111110)|(000001)|(000010)|(000111)|(000100)|(001101)|(001110)|(001011)|(001000)|(011001)|(011010)|(011111)|(011100)|(010101)|(010110)|(010011)|(010000)|(101001)|(1010001)|(1010010)|(1010111)|(1010100)|(1011101)|(1011110)|(1011011)|(1011000)|(1001001)|(1001010)
Odd number of b's,(a*ba*b)*a*ba*,a*b(a|bb|bab)*
non isolated 'a',(b|(a*aa))*,(b+(aaa*))*
Every b followed by two or more a's,(a|baa)*,(a|(baaa))*
Odd number of 1s,0*10*(10*10*)*,(1)|(111)|(11111)|(10)|(1110)|(01)|(100)|(001)|(010)|(1011)|(1000)|(1101)|(0001)|(0010)|(0111)|(0100)|(10101)|(10110)
Every b followed by two or more a's,(a|baa)*,"([ab]a{2,})*"
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*b*)+(baa)(a*b*)b
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|ab|ba|bb)a*b*aaa+
even number of 1's,(0*10*10*)*|0*,(10*10*)*
Odd number of 1s,0*10*(10*10*)*,(0*(11)*0*10*)
non isolated 'b',(a|(b*bb))*,(a)*(bb)*(a)*(bbb)*(bb)*(a)*
4 | #0,1*(01*01*01*01*)*,(1*01*01*01*0)*|1*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+0+)*1|(0+1+)*0
Odd number of b's,(a*ba*b)*a*ba*,(a)*b(a*ba*b)*
An even number of 1's,(0|10*1)*,(0*10*10*)|0*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*b*(baa)b*a*b
Odd number of b's,(a*ba*b)*a*ba*,((a)*b)(((a)*b){2})*
3 | #b,a*(ba*ba*ba*)*,(a*ba*ba*b)*
Length 1 or More,(0|1)(0|1)*,(1|0)0*1*
non isolated 'b',(a|(b*bb))*,a*(bb+)*a*|a*
non isolated 'a',(b|(a*aa))*,(b*aa+b*|b*)
non isolated 'b',(a|(b*bb))*,(a+bbb*)*
non isolated 'b',(a|(b*bb))*,(a+bbb)*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a(a*))|(b(b*))(a*)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb|ab|ba)(a*b*)a*b*(aaa)
Every b followed by two or more a's,(a|baa)*,(a*(baa)*)
even number of 1's,(0*10*10*)*|0*,0|(11)*
Odd number of b's,(a*ba*b)*a*ba*,([a]*(b)(bba|abb|bab|bb|a*)*)
Odd number of b's,(a*ba*b)*a*ba*,(b(bb)*)|((a*)+b(bb)*)
Odd number of 1s,0*10*(10*10*)*,0+10+
even number of 1's,(0*10*10*)*|0*,0*|(0*|11)*|0*(11)*(0*10*1(0*|11)*)0*|10*110*1|(10*1)0*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+0*1+)*|(0+1*0+)*|0*|1*
An even number of 1's,(0|10*1)*,((11)|0)*
Every b followed by two or more a's,(a|baa)*,(a*|baa)
Odd number of 1s,0*10*(10*10*)*,0*(0*110*)*1(0*110*)*0*
non isolated 'b',(a|(b*bb))*,(a)*(bb)*(bbb)*(a|bb)*(bbb)*(bb)*(a)*
non isolated 'b',(a|(b*bb))*,a*b+b+a*
At least one a followed by one b,a+b,ab{1}
3 | #b,a*(ba*ba*ba*)*,(a*ba*ba*ba*)*
Odd number of b's,(a*ba*b)*a*ba*,(a|bb|bab)*(b)(a|bb|bab)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),0(0*1+0+)*|1(1*0+1+)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0+(0|1)*0+)|(1+(0|1)*1+)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0+1+0+)*|(1+0+1+)*|0*|1*
3 | #b,a*(ba*ba*ba*)*,a*(a*ba*ba*b)*
Odd number of 1s,0*10*(10*10*)*,(11)*0*1(11)*0*(11)*|1(11)*0*(11)*0*(11)*|(11)*0*(11)*0*1(11)*|1(11)*0*1(11)*0*1(11)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1+(0+1+)*|0+(1+0+)*
non isolated 'b',(a|(b*bb))*,bb+|b+b
Every b followed by two or more a's,(a|baa)*,"a*(b)a{2,}"
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(()(a+)+)|((b+))+((a*)+)
Odd number of b's,(a*ba*b)*a*ba*,([a]*[b][a]*)([a]*[b][a]*[b][a]*)+
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|ab|ba|bb)+(aaa)+
Odd number of b's,(a*ba*b)*a*ba*,(bb)*a*b(a)*(bb)*a*
first and third,a(a|b)a(a|b)*,(aaa|aba)b
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(ab)(aaa)a*
non isolated 'b',(a|(b*bb))*,(a)*(bb+ab+b+bba)*(bb+ba+a+bba)*(bb)*
Every b followed by two or more a's,(a|baa)*,(a)*(b)(a)(a)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*(01*0)*0*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|ab|ba|aa)(a|b)*aaa+
