Regex,Attempt Regex,ChatGPT Output
(a*ba*b)*a*ba*,(a|b)*(b)(a|b)*,"positive example:[aabaa, b], negative example:[aaa, abbaa]"
001|1010|110,(001|1010|110)+,"positive example:[0011010110, 110, 1010],negative example:[,0]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0*1*0*)|(1*0*1*))*,"positive example:[""0101"", ""001100"", ""110011"", ""000"", ""111"", ""010"", ""101"", ""0011"", ""1100"", ""010010"", ""101101""], negative example:[""0110"", ""1001"", ""001011"", ""110100"", ""010110"", ""101001"", ""011"", ""100"", ""001010"", ""110101""]"
(0|10*1)*,(0*1?0*1?0*)*,"positive example: ["""", ""0"", ""1"", ""00"", ""01"", ""10"", ""11"", ""000"", ""001"", ""010"", ""100"", ""110"", ""111"", ""0000"", ""0001"", ""0010"", ""0100"", ""1000"", ""1100"", ""1110"", ""1111""], negative example: [""2"", ""a"", ""1012"", ""011a"", ""0002"", ""110a""]"
(a*ba*b)*a*ba*,a*b(a*|ba*|b)*a*,"positive example: [bab, aabab], negative example: [abba, bbaa]"
001|1010|110,(001|1010|110)*,"positive example:[, 0011010110],negative example:[0]"
(0|10*1)*,(0*(10)*1*)*0*,"positive example: [""1001"", ""0"", ""10"", ""010"", ""00100"", ""110"", ""1010"", ""000"", ""101"", ""0101""], negative example: [""11"", ""00"", ""01"", ""1011"", ""1100"", ""111"", ""0001"", ""100"", ""0011"", ""0110""]"
/#(/|a|b|##*(a|b))*##*/,(/#)|((a|b|/?)|#)*|(#/),"positive example: [""/#"", ""a"", ""b"", ""/"", ""#"", ""ab"", ""a#"", ""b#"", ""/#"", ""#/"", ""a/b"", ""a#/"", ""ab#/""]  
negative example: ["""", ""c"", ""aa"", ""bb"", ""//"", ""##"", ""a/b/c"", ""a#b#c"", ""/a/b"", ""#a#b""]"
(a*ba*b)*a*ba*,(((a*)+b+(a*)+b+(a*))|(a*))+b+(((a*)+b+(a*)+b+(a*))|(a*)),"positive example:[baa, babababababb, b],negative example:[bababab]"
a(a|b)a(a|b)*,a(a|b)*aa*b*,"positive example:[abba, aabb, aabab],negative example:[a]"
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*ba)*|((a|b)a*b))*,"positive example:[ababb, abababbabb],negative example:[bbba]"
(a|(b*bb))*,a?(a|bb*)*,"positive example:["""", ""a"", ""aa"", ""ab"", ""aab"", ""bb"", ""abb"", ""bbb"", ""aabb""], negative example:[""b"", ""ba"", ""bba"", ""bab"", ""baba""]"
(a|b)*baa(a|b)*b,(a|b)*(baa)*(a|b)*b,"positive example: [b, ab, baaab, baaaab, bbaaab], negative example: [a, aa, ba, aba, baaa]"
(a|baa)*,(b|aa|a)*,"positive example:["""", ""b"", ""a"", ""aa"", ""ba"", ""aaa"", ""aab"", ""baa"", ""bb"", ""aaba""], negative example:[""ab"", ""aba"", ""abb"", ""aabaa"", ""baab""]"
(ab|ba)*,((ab)|(ba))*((ab)|(ba)|(aa)|(bb))*,"positive example:[, aaabbabb],negative example:[a]"
0(0|1)*0,(0|(0|1)*0),"positive example:[00, 10, 100],negative example:[1]"
(a|(b*bb))*,(a|b)*bb(a|b)*|a*,"positive example: [, aa, bb, ababbab], negative example: [b]"
((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*b)a*)*,"positive example:[, ababb],negative example:[a]"
(a|b)*baa(a|b)*b,(a|b|baa)*b,"positive example:[abb, b], negative example:[a, ba, baaa]"
b*a*,a*b*a*,"positive example:[, aab, bbaa], negative example:[bab]"
001|1010|110,001|10101|1010|110,"positive example:[10101, 110, 001, 1010],negative example:[0]"
(b|(a*aa))*,(b*|ab+)*aa(a|b)*|b*,"positive example:[babaaab, , bb, aa],negative example:[a,abb]"
(a|b)*(bab)(a|b)*,(a*|b*)*|bab|(a*|b*)*,"positive example: ["""", ""a"", ""b"", ""aa"", ""bb"", ""aaa"", ""bbb"", ""ab"", ""ba"", ""bab"", ""aab"", ""abb"", ""aabb"", ""aaab"", ""abbb"", ""baba"", ""baab"", ""bbab""], negative example: [""c"", ""abc"", ""bac"", ""bca"", ""cab"", ""cba"", ""aac"", ""bbc"", ""cca"", ""ccb"", ""abac"", ""babc"", ""abca"", ""bbca""]"
(ab|ba)*,(bb|aa|aabb|abab|abba|baba|bbaa|baab)*((aa)|(bb)|(ab)|(ba))*,"positive example:[, abaababb], negative example:[a]"
(0*10*10*)*|0*,(0*|1)*,"positive example: ["""", ""0"", ""1"", ""00"", ""01"", ""10"", ""11"", ""000"", ""001"", ""010"", ""011"", ""100"", ""101"", ""110"", ""111""], negative example: [""2"", ""a"", ""A"", ""!"", ""@"", ""#"", ""$"", ""%"", ""^"", ""&"", ""*"", ""("", "")"", ""-"", ""+""]"
(ab|ba)*,(aabb|abab|abba|bbaa|baba|baab)*(aa|ab|ba|bb)*,"positive example:[, aaabbabb], negative example:[a]"
a+b,[a]*[ab],"positive example:[aab, a, aaab, b, ab], negative example:[bb, ba, baa, aba, aaa]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*1*)*((10)*(0*1*)*(01)*)*(0*1*)*,"positive example: ["""", ""0"", ""1"", ""01"", ""10"", ""0011"", ""1100"", ""0101"", ""1010"", ""000111"", ""111000"", ""010101"", ""101010"", ""000"", ""111"", ""00001111"", ""11110000"", ""01010101"", ""10101010""], negative example: [""2"", ""a"", ""011"", ""100"", ""001"", ""110"", ""0110"", ""1001"", ""0010"", ""1101"", ""01100"", ""10011"", ""00100"", ""11011""]"
(0*10*10*)*|0*,(0?1?0*1?0*)*,"positive example: ["""", ""0"", ""1"", ""00"", ""01"", ""10"", ""11"", ""000"", ""001"", ""010"", ""011"", ""100"", ""101"", ""110"", ""111"", ""0000"", ""0001"", ""0010"", ""0011"", ""0100"", ""0101"", ""0110"", ""0111"", ""1000"", ""1001"", ""1010"", ""1011"", ""1100"", ""1101"", ""1110"", ""1111""], negative example: [""2"", ""a"", ""01a"", ""101b"", ""1102"", ""111a""]"
a+b,(a*)b,"positive example:[aab, b], negative example:[aa, abba]"
(a|(b*bb))*,((a|b)*bb(a*b*))|a*,"positive example: [, aa, bb, bba, abbbaab], negative example: [b]"
(a|(b*bb))*,(a)*(ab|ba|b|a)*(a)*,"positive example:[, bbaaab], negative example:[]"
(ab|ba)*,((ab)|(ba))*((a|b)(b|a))*,"positive example:[, aabb], negative example:[aa, bb]"
(a|b)(a|b)+aaa+,(a|b)+aaa(a)*,"positive example:[baaa, abaaa],negative example:[aaa]"
(ab|ba)*,(aa|bb)*|(ab|ba)*,"positive example:[baab, bb, aabb, abba],negative example:[a]"
(a|b)*baa(a|b)*b,((b|a)*b+a+a*(b|a)+b),"positive example:[baab, aababab], negative example:[abab]"
(a|b)(a|b)+aaa+,(a|b)+(aaa),"positive example:[baaa, abaaa], negative example:[aaa]"
(a*ba*b)*a*ba*,a*b(a*b)*a*,"positive example:[baa, bbb, aabab], negative example:[abba, aaab, baba]"
0*(10*1)*0*,0*(10*10*)*,"positive example:[, 0, 001111],negative example:[111]"
(a|(b*bb))*,(a|b*bb*)*,"positive example:[, ba, ab], negative example:[a, b, bb]"
(ab|ba)*,(ab|ba)*(aabb+bbaa+baba+abab)*,"positive example: [, baabaabbbbaababaababaabbbbaababaabab, abbaaabbbbaababaabab], negative example: [aabbbbaababaabababaabbbbaababaabab]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*(0|1)*0*)|(1*(0|1)*1*),"positive example: [""0"", ""1"", ""00"", ""11"", ""01"", ""10"", ""000"", ""111"", ""010"", ""101"", ""001"", ""110"", ""0000"", ""1111"", ""0101"", ""1010"", ""0011"", ""1100""],  
negative example: [""2"", ""a"", ""01a"", ""10b"", ""0002"", ""111a"", ""010b"", ""101c"", ""0012"", ""110a""]"
(a*ba*b)*a*ba*,((a*(bb)*a*)ba*)+,"positive example:[bab, b], negative example:[a, aa, ab]"
(ab|ba)*,((ab|ba)*(aa|ab|bb|ba)*)+(ab|ba)*,"positive example: [aabb, abab, baba, abaa, babb, abba, baab, ababaa, babaab, ababab], negative example: [a, b, aa, bb, aaa, bbb, aab, bba, abaab, babba]"
(a|b)*(bab)(a|b)*,(a|b)*(bab)*(a|b)*(bab)*(a|b)*,"positive example: [""bab"", ""abab"", ""aabab"", ""babab"", ""bbab"", ""babba"", ""ababab"", ""aabbab"", ""bbabab"", ""bababab""], negative example: ["""", ""a"", ""b"", ""aa"", ""bb"", ""aba"", ""bba"", ""abba"", ""baab"", ""ababa""]"
(a|baa)*,(a*|baa*)*,"positive example:[aba], negative example:[b]"
(a|b)(a|b)+aaa+,(a|b)*(a|b)*aaa,"positive example: [aaa, aaaa, baaa, abaaa, bbaaa, aabaaa, abbaaa, bbbaaa], negative example: [aa, aab, aba, abb, baa, bab, bba, bbb]"
a+b,(aa*)b+,"positive example:[aaabb, ab],negative example:[abab,a]"
(0(0*|1+0)*)|(1(1*|0+1)*),(0+1*0+)*|((1+0*)*10+1+)*|1*|0+(1+0+)*|1*,"positive example:[0, 1010011, 1101, 001010, 01010], negative example:[10]"
a+b,(a)*(b+),"positive example:[bb, aab], negative example:[,bab]"
(ab|ba)*,((ab)|(ba))*((ab)|(ba)|(bb)|(aa))*,"positive example:[, aaabbabb], negative example:[a]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|0*(1*0*)*|1*(0*1*)*,"positive example: ["""", ""0"", ""1"", ""00"", ""11"", ""000"", ""111"", ""01"", ""10"", ""001"", ""110"", ""000111"", ""111000"", ""010101"", ""101010""],  
negative example: [""2"", ""a"", ""01a"", ""10b"", ""0012"", ""110a"", ""0001112"", ""111000a"", ""010101b"", ""1010102""]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|(0*1+0*1+0*)*|(1*0+1*0+1*)*,"positive example:[0, 0010101, 01010, 10101, 0101011, 1],negative example:[010101]"
(ab|ba)*,(aa*|bb*)*,"positive example:[ba, , ab], negative example:[aab, bba, aba]"
(0(0*|1+0)*)|(1(1*|0+1)*),0*|1*|1+(0+1+)*|0+(1+0+)*,"positive example:[01010, 10101, 010, 101], negative example:[01,10]"
(a|b)(a|b)+aaa+,((a|b)*(a|b))aa(a)*,"positive example:[aaa, babaa],negative example:[a]"
0(0|1)*0,0*(1|0)*0*,"positive example:["""", ""101"", ""0"", ""000"", ""111"", ""010"", ""000111000"", ""001100""], negative example:[""2"", ""a"", ""102"", ""0112"", ""abc"", ""10a"", ""001a100""]"
(a|b)(a|b)+aaa+,(a|b)(a|b)(a|b)*(aaa(a)*)*,"positive example:[baba, abab, aa],negative example:[a, b, abba]"
(ab|ba)*,((aa)|(bb)|(ab)|(ba))*,"positive example:[, aaabbabb], negative example:[a]"
0*10*(10*10*)*,(0|1)*1(0|1)*,"positive example:[00100, 1], negative example:[000, 0]"
(0|10*1)*,1*|(0|1)*,"positive example:["""", ""0"", ""1"", ""00"", ""01"", ""10"", ""11"", ""000"", ""001"", ""010"", ""011"", ""100"", ""101"", ""110"", ""111""], negative example:[]"
0(0|1)*0,(0+(0|1)*0+)*,"positive example:[, 010110], negative example:[0, 1, 0101]"
b*a*,(b|a)*,"positive example:[, ba, a, b, aa, ab, bb, aab, bba], negative example:[baa, bbb, aaa, aba, bab]"
(a|baa)*,(baa*|a*)*,"positive example:[""aba"", ""ba"", ""a"", ""baaa"", ""aa"", """"], negative example:[""b"", ""ab"", ""bb"", ""bab""]"
(ab|ba)*,((ab)*(ba)*)*|abb*ba,"positive example:[baab, abbba, abbbba], negative example:[a]"
(a*ba*b)*a*ba*,(a|(ab)*b)+(ba)*,"positive example:[bb, ab, a],negative example:[b, aa, aba]"
(ab|ba)*,(ab|ba)*(aa|bb|ba|ab)*,"positive example:["""", ""aaabbabb""], negative example:[""a""]"
b*a*,(a+)*b*a*,"positive example:[, bbaa], negative example:[baba]"
a+b,(a)*(b)*,"positive example:[, aabb, a, b, aa, bb, aab, abb], negative example:[ab, ba, aba, bab, aabba, baa]"
a(a|b)a(a|b)*,a+(a|b)+a+(a|b)*,"positive example:[aaa, aaabb, abbab],negative example:[aa]"
/#(/|a|b|##*(a|b))*##*/,(/#((a|b|/)*#*)*#/)*,"positive example: [""#a#"", ""##"", ""#/##"", ""#ab/#"", ""#a/b#a#""], negative example: [""a"", ""b"", ""/"", ""#a"", ""a#"", ""#a#b"", ""#/#a""]"
(0(0*|1+0)*)|(1(1*|0+1)*),(0(0*|(0*1+0+))*|1(1*|1*0+1+)*)?,"positive example:[10101, 101, 00, 11, 01010],negative example:[01]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*)|(1*)|((0+1+)*(0+1+0+)*)|((1+0+)*(1+0+1+)*),"positive example:[00, 11, 01011, 10, 010, 10010, 101, 01],negative example:[0, 1, 0101, 1010, 0011, 1100, 01010, 10101]"
b*a*,(((a+)|b+a*))*,"positive example:["""", ""ab""], negative example:[""ba"", ""baba""]"
a+b,(a+)*(b),"positive example:[ab, b], negative example:[a, aa, ba]"
a+b,a(a*b*)*b,"positive example:[abb, abab],negative example:[b]"
(ab|ba)*,(a*|b*)*(aa|ab|ba|bb)*,"positive example:[b, a, aa, ab, ba, bb, aab, bba, aaab, bbba], negative example:[abab, baba, aabb, abba, baab, bbaa]"
(a*ba*b)*a*ba*,(a*)+b+((a*)|(b+(a*)+b))+(a*),"positive example:[babab], negative example:[bababb]"
(0|1)(0|1)|(0|1)(0|1)(0|1),(0|1)(0|1)?(0|1)?,"positive example:[110, 001],negative example:[,0000]"
(ab|ba)*,((ab)|(ba))*(aa|ab|ba|bb)*,"positive example:[, aaabbabb], negative example:[a]"
(a|b)(a|b)+aaa+,(ab|aa|ba|bb)*(aaa)*,"positive example:[, aa, abaababbaaa], negative example:[a]"
(ab|ba)*,(ab|ba)*|(aa|ab|bb)*,"positive example:[baab, aaabbb, abaa, bb, abba], negative example:[a]"
a+b,(a)*b,"positive example:[aab, b], negative example:[aa, abba]"
a+b,(a*b{1}),"positive example:[aab, b], negative example:[, bb]"
(a*ba*b)*a*ba*,(a*(b|bbb)*)*,"positive example: ["""", ""a"", ""b"", ""aa"", ""ab"", ""bb"", ""aaa"", ""aab"", ""abb"", ""bbb"", ""aaaa"", ""aaab"", ""aabb"", ""abbb"", ""bbbb"", ""abab"", ""abbbb"", ""aabbb"", ""aaabb"", ""aaaab""], negative example: [""c"", ""ac"", ""bc"", ""abc"", ""aac"", ""bac"", ""abac"", ""aabc"", ""abca"", ""ababababababababababababababababababababababababab""]"
(a*ba*b)*a*ba*,b|(bb*|a*|bab*)*,"positive example: [""b"", ""bb"", ""a"", ""aa"", ""bab"", ""bbbb"", ""aaaa"", ""bbab"", ""abab"", ""bba""],  
negative example: [""c"", ""bc"", ""abc"", ""baa"", ""abba"", ""bbba"", ""aab"", ""bbbaba"", ""abbb"", ""baab""]"
(a|b)(a|b)+aaa+,"[ab]{2,}","positive example:[ba, aab], negative example:[a]"
((a|b)a*ba)*(((a|b)a*b)?),((a|b)(a|bb|ba(a|b))*(b|ba))?,"positive example:[aabaababbbba, bb], negative example:[ababa]"
001|1010|110,(0|1)*(01)*(0|1)*,"positive example: [""01"", ""0011"", ""1010"", ""000111"", ""110011"", ""010101"", ""0"", ""1"", ""00"", ""11"", ""010"", ""101"", ""000"", ""111"", ""0100"", ""1011""],  
negative example: [""0110"", ""1001"", ""001100"", ""11001100"", ""010110"", ""101001"", ""011"", ""100"", ""0011"", ""1100""]"
(0(0*|1+0)*)|(1(1*|0+1)*),((10*)*1+)*|((01*)*0+)*,"positive example:[101, 1001, 0110], negative example:[110, 001, 0101]"
(a|b)(a|b)+aaa+,(a*|b*)+(a*|b*)+aaa+,"positive example:[aaa, aaaaa, bbbaaa, abaaa, bbaaa], negative example:[aa, aab, bba, abba, baba]"
a(a|b)a(a|b)*,a(a|b)(a|b)*,"positive example:[aaab, aa, aaba],negative example:[a]"
(ab|ba)*,((ab)*(a|b)(a|b)|(ba)*(a|b)(a|b))*,"positive example:["""", ""aaaa"", ""abab"", ""baba"", ""aa"", ""bb"", ""abba"", ""baab""], negative example:[""a"", ""b"", ""aba"", ""bab"", ""aaa"", ""bbb"", ""aab"", ""bba""]"
(a|b)(a|b)+aaa+,(a*b*)*a*a*a,"positive example: [baba], negative example: []"
(a|b)(a|b)+aaa+,(a|b)+(a|b)*aaa,"positive example:[baaa, aaaa],negative example:[aaa]"
(a*ba*b)*a*ba*,((a|b)*|(a|bb)*)*b((a|bb)*|(a|b)*),"positive example: [b], negative example: [a, aa, ab, ba, bb, aab, aba, abb, baa, bab, bba, bbb]"
(ab|ba)*,(ab|ba)*(ab|ba|aa|ab)*,"positive example:[, aaba], negative example:[a]"
/#(/|a|b|##*(a|b))*##*/,(/#((a|b|/)#*)*#/)*,"positive example: [""#a#"", ""#b#"", ""#/#"", ""#a#b#"", ""#a#/#"", ""#b#a#"", ""#/#a#"", ""#a##b#"", ""#a###b#"", ""#a#b#a#""], negative example: [""a"", ""b"", ""/"", ""a#b"", ""#a"", ""#b"", ""#/"", ""a#b#"", ""#ab#"", ""#a/b#""]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*(01*0*)*|1*(10*1*)*,"positive example: [10, 0101, 1010, 01], negative example: [011, 100, 0011, 1100]"
(ab|ba)*,(a|b)*(a|b)*,"The regular expression `(a|b)*(a|b)*` is equivalent to `(a|b)*`, which matches any string consisting of zero or more 'a's or 'b's (including the empty string). Since the expression covers all possible combinations of 'a' and 'b', there are no negative examples (all strings composed of 'a' and 'b' are accepted).  

Here’s the result:  
positive example: ["""", ""a"", ""b"", ""aa"", ""ab"", ""ba"", ""bb"", ""aab"", ""bba"", ...],  
negative example: []"
(0(0*|1+0)*)|(1(1*|0+1)*),(0?)|1|(0(0|1)*0)|(1(0|1)*1),"positive example: [00, , 11, 1011, 0010, 1], negative example: [01, 10, 0001, 1100, 010, 1110]"
(a|baa)*,(a|b|baa+)*,"positive example:[, ab, baa, baaa, aabaa, abbaa], negative example:[ba, aaab, baba, aaba, bbaa]"
(ab|ba)*,(ab|ba|aabb|bbaa)*(aa|ab|ba|bb)*,"positive example:[, aaabbabb],negative example:[a]"
a+b,[a]*b,"positive example:[aab, ab, b], negative example:[aa, a, ba]"
0*10*(10*10*)*,(0*10*)*0*10*,"positive example:[11, 11100, 0010],negative example:[0, 1, 000, 1010]"
0(0|1)*0,0*|0(0*1*)*0,"positive example:[, 0100], negative example:[1]"
(a|b)(a|b)+aaa+,[ab]*a{3},"positive example:[aaa, abaaa], negative example:[aa]"
b*a*,((a*)|(b+a*))*,"positive example: [a, b, aa, ab, ba, bb, aaa, aab, aba, abb, baa, bab, bba, bbb], negative example: [c, ac, bc, abc, aac, bbc, ca, cb, cba, cbb, ccc]"
(a|b)*baa(a|b)*b,(a*|b*|baa)+b+,"positive example: [bab, aab, bbaaab, bbb], negative example: [aaba, bbaa, abab, aaabbb]"
(0|1)(0|1)|(0|1)(0|1)(0|1),[01]*[10]*,"positive example:["""", ""0"", ""1"", ""01"", ""10"", ""0011"", ""1100"", ""000111"", ""111000""], negative example:[""2"", ""012"", ""102"", ""0012"", ""1102"", ""000112"", ""111002""]"
b*a*,((a)+|b+a*)*,"positive example:[, ab], negative example:[ba, aab, bba]"
(a|b)*(bab)(a|b)*,(a|b|bab)*(bab)*,"positive example:[, ab, bab, abab, babbab, bababab], negative example:[a, b, ba, aba, baba, abba]"
a+b,(a*)(b{1}),"positive example:[aab, b],negative example:[,bb]"
(a|b)(a|b)+aaa+,(aa|ab|ba|bb)*(a|b)*(aaa),"positive example:[aaa, baaa, aaaa],negative example:[aa, ab, ba, bb, a, b, aab, abb, bba, bbb]"
0*10*(10*10*)*,(0|1)*,"positive example:[, 01], negative example:[10, 001, 110]"
(a|b)(a|b)+aaa+,((a|b)|(b|a))(a|b)*(a)(a)(a)(a*),"positive example:[baaa, aabaaa, abbaaa],negative example:[a]"
b*a*,aa*|(a?|b)*(a|b?)*,"positive example:[""a"", ""aa"", ""aaa"", ""b"", ""ab"", ""ba"", ""aab"", ""bba"", ""aba"", ""bab""], negative example:[""c"", ""ac"", ""ca"", ""abc"", ""bac"", ""aac"", ""bbac"", ""abac"", ""baca"", ""aabc""]"
a+b,a(a|b)*b,"positive example:[aabb, ab], negative example:[aa, bb, ba, b, a]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1|0|(1+(0*1*)*1+)*|(0+(1*0*)*0+)*)*,"positive example: [0, 1, 10, 01, 110, 001, 1010, 0101, 1110, 0001, 11010, 00101, 11110, 00001, 101010, 010101], negative example: [2, 3, 11, 00, 100, 011, 1100, 0011, 10100, 01011, 11100, 00011, 101000, 010111, 111000, 000111]"
(a|b)(a|b)+aaa+,(a|b)(a|b)*(aaa)(a)*,"positive example:[babaaa, aaaa, abbaaa],negative example:[a]"
(ab|ba)*,(ab|ba)*|(aa|bb)*,"positive example:[baab, bb, aabb, abba],negative example:[a]"
(a*ba*b)*a*ba*,a*b+(a*|(b(a*)b))+a*,"positive example:[aababab, babb],negative example:[bab]"
(ab|ba)*,(aa|bb)|(ab|ba)*,"positive example:[baab, , bb, aa, abba],negative example:[a]"
(0(0*|1+0)*)|(1(1*|0+1)*),(((0+1*)*0+)*|((1+0*)*1+)*)*,"positive example: [0, 1, 00, 01, 10, 11, 000, 001, 010, 011, 100, 101, 110, 111], negative example: [2, 3, 12, 20, 21, 22, 30, 31, 32, 33]"
b*a*,((a+)|a*b+a*)*,"positive example:["""", ""bab"", ""a""], negative example:[""b"", ""abab"", ""baa""]"
0*10*(10*10*)*,0*(11)*1(0|1)*,"positive example:[001, 101], negative example:[000, 100]"
(a|b)(a|b)+aaa+,"(a|b)*a{3,}","positive example:[bbaaa, aaa, abaaa],negative example:[aa]"
(ab|ba)*,(ab)*(aa|ab|ba|bb)*,"positive example:[, aaabbabb],negative example:[a]"
(a|b)(a|b)+aaa+,[ba]*aaa,"positive example:[baaaa, aaa, aaaaa], negative example:[baa, aa, bba]"
(a|(b*bb))*,(a|b)*bb(a|b?)*|a*,"positive example:[, bb, aa, ababbab],negative example:[b]"
b*a*,(a*)(b*)(a*),"positive example:[, bb, aabaa],negative example:[baba]"
0*(10*1)*0*,(0*10*10*)*|0*,"positive example:[00, 01010, 1111],negative example:[1]"
(0|1)(0|1)*,(0|1)*,"positive example:[, 01], negative example:[0., 1., 0.1]"
(a*ba*b)*a*ba*,(a|(ab)*b)*(ba)*,"positive example:[, ab], negative example:[a, b, ba, aba, abb, abab]"
b*a*b*|(a*bb+a*)*,(b|aa*bb)*((aa*(b?))?),"positive example:[babb, abbb, ],negative example:[aba]"
(a*ba*b)*a*ba*,((a*|a*ba*(ba*ba*)*a*)|b),"positive example:[baabbbb, ab, , aa, aabbab],negative example:[bb]"
(a|(b*bb))*,(a|b*b)*,"positive example: [, ab], negative example: [ba, bba, aa, bb]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((01*0*)|(10*1*))*,"positive example:[0, , 110], negative example:[1, 00, 011]"
(0(0*|1+0)*)|(1(1*|0+1)*),1*(0+1+)*|0*(1+0+)*,"positive example:[0, 10, 110101, 001010, 1, 01], negative example:[2, 20, 1112, 0002, 12, 021]"
0*10*(10*10*)*,(0*(10*1)*0*10*)*,"positive example:[11, , 1], negative example:[0, 1010, 0101]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*1*(01)*0*1*(10)*0*1*)*,"positive example:[10010010],negative example:[]"
(a|baa)*,"(a*(b*a{2,})*)*","positive example:[baa, a], negative example:[ab, baaa]"
((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((01)*(0|1)+(10)*)*,"positive example:[, 10], negative example:[0, 1, 01, 11, 100, 101]"
(ab|ba)*,(ab|aabb|ba)*,"positive example:[abaabbba], negative example:[a]"
(ab|ba)*,(aa|ab|bb|ba)*,"positive example:[, aaabbabb],negative example:[a]"
0(0|1)*0,0*|0(1|0)*0|1*|1(1|0)*1?,"positive example: [0, 0100, 110, 100, 0010], negative example: [01, 101, 0001, 1110, 0101]"
(a|b)*(bab)(a|b)*,(a|b)*,"positive example:[, ab], negative example:[aab, bba, aba]"
(a|b)(a|b)+aaa+,(a|b)(a|b)*(aa)(a)*,"positive example:[aaa, aabaa, bbabaa],negative example:[a]"
(a|b)*(bab)(a|b)*,(a|b|bab)*(a|b|bab)*,"positive example: [""a"", ""b"", ""bab"", ""ab"", ""ba"", ""abab"", ""baba"", ""aa"", ""bb"", ""ababab""], negative example: [""c"", ""ac"", ""bc"", ""abc"", ""bac"", ""abac"", ""babc"", ""abca"", ""babbc""]"
001|1010|110,0*10*(10)*,"positive example:[1001010, 001],negative example:[110010]"
(a|b)*(bab)(a|b)*,(a|b)*(bab)*(a|b)*,"positive example: [""a"", ""b"", ""bab"", ""abab"", ""bbab"", ""ababa"", ""bbaba"", ""aabab"", ""babab"", ""ababab""], negative example: [""baa"", ""bba"", ""abba"", ""baab"", ""bbaa"", ""aabb"", ""bbabba"", ""ababba"", ""baabab"", ""babba""]"
(a|(b*bb))*,(a*|bb*)*,"positive example: [a, b, aa, ab, ba, bb, aaa, aab, aba, abb, baa, bab, bba, bbb], negative example: [c, ac, bc, abc, aac, bbc, ca, cb, cba, cbb, aabbc, abcc, bbaa]"
a(a|b)a(a|b)*,ab*|(a(a|b)a(a|b)*),"positive example:[aaa, abb, a, abaab],negative example:[b]"
(ab|ba)*,(ab|ba)*(aa|ab|ba|bb)*|(aabb|bbaa)*|(aa|ab|ba|bb)*,"positive example:[], negative example:[a]"
(a|baa)*,a*(baa*|a*)*,"positive example:[baba, ],negative example:[b]"
(a|b)(a|b)+aaa+,(a|b)(a|b)*(aaa)a*,"positive example:[abaabaaa, babaaa, aaaa],negative example:[a]"
(0*10*10*)*|0*,(1|0|1)*,"positive example:[00, 0, ], negative example:[01, 10, 11]"
(a|b)(a|b)+aaa+,(a*b*)*aaa,"positive example:[baaaa], negative example:[ab, baa, aab, bba, a, b, aa, bb, aabba, bbaa]"
((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*b((a?)|(bb?)))*|((a|b)a*ba)*,"positive example:[abbbba],negative example:[b,ba]"
0(0|1)*0,(0+(1*0*1*)*0+)*,"positive example:[], negative example:[0]"
(b|(a*aa))*,(b*|ab)*aa(a|b)*|b*,"positive example:[babaaab, , aa, bb],negative example:[a,abb]"
0(0|1)*0,0+(0*1*0*)*0+|1,"positive example:[01010, 010, 1],negative example:[0]"
(0|1)(0|1)*,(1|0)*,"positive example:[00, , 10],negative example:[01, 11, 101]"
((a|b)a*ba)*(((a|b)a*b)?),((((a|b)(a*)ba)*)|((a|b)(a*)b))*,"positive example:[ababb, abbbababba],negative example:[abab, baa, aabba]"
a+b,(a*b)*,"positive example:[, bb, ab], negative example:[a, b, aa, ba, abb, bba]"
0*10*(10*10*)*,0*((1)*1)*1(0|1)*,"positive example:[00101, 1],negative example:[0]"
(0*10*10*)*|0*,0*(10*1)*0*(10*1*)*,"positive example:[, 10, 110110],negative example:[0, 1, 11, 101, 1001, 1101]"
(a|b)(a|b)+aaa+,(a|b)(a|b)+aa+,"positive example:[bbbaa, aabaa, aaaa],negative example:[aaa]"
(a|baa)*,(a*|b*aa)*,"positive example: [abaa, a, bbaa, aa, baa, aabaa, bbaabaa], negative example: [ab, ba, b, aba, baba, abab, bbba]"
(ab|ba)*,((aa)*|(bb)*)((aa)*|(bb)*)*|(ba|ab)(ab|ba)*|(aa)*|(bb)*,"positive example:[aabbaa, ba, ababba],negative example:[a]"
(a|b)*(bab)(a|b)*,((a|b)*bab(a|b)*)*,"positive example:[, abbabba],negative example:[a]"
