shortdescription,regex,attemptregex
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|ab|ba|bb)*aaaa*
even number of 1's,(0*10*10*)*|0*,(0*(1)*0(1))*
first and third,a(a|b)a(a|b)*,a(a+b)a(a+b)*
Every b followed by two or more a's,(a|baa)*,[b]*[a]{2}
even prefix,(ab|ba)*,(ab+ba)(ab+ba)*(a+b)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|ab|ba|bb)*(aaa)a*
Every b followed by two or more a's,(a|baa)*,(b+(a+)(a+)a*)*
Every b followed by two or more a's,(a|baa)*,a*|baa*|a*baa*|abaa*baa*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a+|b*a)*
Every b followed by two or more a's,(a|baa)*,(a)*(baa)*((a)*(bbb)*)*
Every b followed by two or more a's,(a|baa)*,(a|b)*aa
even prefix,(ab|ba)*,(aa*bb*)*
non isolated 'b',(a|(b*bb))*,(a+bb*)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1*(0+1+0+)*1*|0*(1+0+1+)*0*|1*|0*|0+1+0+1+0+1+0+|1+0+1+0+1+0+1+
Odd number of 1s,0*10*(10*10*)*,(0*1|0*111+)
non isolated 'b',(a|(b*bb))*,a*b+a*
even number of 1's,(0*10*10*)*|0*,1*1*0*1*1*0
Odd number of 1s,0*10*(10*10*)*,(0|1)*1(0|1)1*0*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|ab|ba|bb)*a|b*(aaa)
Odd number of b's,(a*ba*b)*a*ba*,b*a(ab*a|b)*
Odd number of b's,(a*ba*b)*a*ba*,(((a*)*b)*b)*(b)
even number of 1's,(0*10*10*)*|0*,0*0?|10+11*
Every b followed by two or more a's,(a|baa)*,a*b(a*ba*b)*a*
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*(bb)*a*)|(a*bba*(b)*a*)|(ba*ba*ba*)
non isolated 'b',(a|(b*bb))*,(a*|(bb)*)*b*
first and third,a(a|b)a(a|b)*,a+(a|b)+a
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*aab(a|b)*b
Every b followed by two or more a's,(a|baa)*,"[a-b]((ba{2,})?)"
Odd number of 1s,0*10*(10*10*)*,(0)*(1*)+(0)*
non isolated 'b',(a|(b*bb))*,(a)*(bb(b)*)*(b+a)*
Every b followed by two or more a's,(a|baa)*,(a*b*)|(b*a*)
even prefix,(ab|ba)*,(ab)*|(ba)*|(aa)*|(bb)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a|b(a|b)+aaa(a)*
first and third,a(a|b)a(a|b)*,(aba+aaa)*(a+b)*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a+b)*a*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|(10+1)*|(01+1)*|((10)+0*1+)*|((01)+1*0+)
non isolated 'b',(a|(b*bb))*,a*b*(ba+ab)*b*a*
even prefix,(ab|ba)*,(ab+ba)*(aa+ab+ba+bb)*
Every b followed by two or more a's,(a|baa)*,b*(aa+)*
non isolated 'b',(a|(b*bb))*,((a|b)*bb(a|b))|a*
first and third,a(a|b)a(a|b)*,((aaa)|(aba))*
even prefix,(ab|ba)*,(ab+ba)*(a+b)+(a+b)?
Every b followed by two or more a's,(a|baa)*,(a*|baa*)
Odd number of 1s,0*10*(10*10*)*,(00|01|10|11|000|111|100|010|001|110|101|011)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb)*aaa
even prefix,(ab|ba)*,(ab)*|(ba)*|(a(bb)*a)
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a*)|(a*b*)
even number of 1's,(0*10*10*)*|0*,0*(0*1+0*1)*
Odd number of b's,(a*ba*b)*a*ba*,(ab*ab*)*a*ba*
non isolated 'b',(a|(b*bb))*,(a*(bb*))*
Three Choices (Regex),001|1010|110,(001|10101|110)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*abb((a|b)*b)*
non isolated 'a',(b|(a*aa))*,(b*(aa*)b*)*
Odd number of 1s,0*10*(10*10*)*,0*|1*
non isolated 'b',(a|(b*bb))*,b*(ab+ba+b)*
Odd number of b's,(a*ba*b)*a*ba*,a*(bb)*a*b+a*(bb)*a*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,ab|ba|aa|bb|a*b*aaa
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*baa+b*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*ba)*|((a|b)a*b)*
Odd number of b's,(a*ba*b)*a*ba*,(a)*(b|bb)(a)*(bb)*(a)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,aaaa*
Odd number of b's,(a*ba*b)*a*ba*,((a|b)a+b)+
Every b followed by two or more a's,(a|baa)*,a*b(aaa*)*(a|b)*
non isolated 'b',(a|(b*bb))*,(a*ba*ba*)*
Three Choices (Regex),001|1010|110,1*0*011*0*
even number of 1's,(0*10*10*)*|0*,(0*1)*
non isolated 'b',(a|(b*bb))*,(b*)+(a*b*)
Odd number of b's,(a*ba*b)*a*ba*,b(aa+ab+ba+bb)*
first and third,a(a|b)a(a|b)*,a+(a|b)+a+b
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,b*a*b*aaa
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(101)*|(010)*|0*|1*
4 | #0,1*(01*01*01*01*)*,(0|1)*1*01*0
even number of 1's,(0*10*10*)*|0*,(1|0)0*1+
even prefix,(ab|ba)*,(ab+ba)(aa+ab+ba+bb)*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),((a|b)a*ba)*(a|((a|b)a*b))
non isolated 'a',(b|(a*aa))*,b*(aa*)*b*
non isolated 'b',(a|(b*bb))*,(a+bb)*bb*
Odd number of b's,(a*ba*b)*a*ba*,a*(b+)(a|bb)*
Odd number of 1s,0*10*(10*10*)*,(111)*
non isolated 'b',(a|(b*bb))*,((a|b)*(ab|b)b+(a|b)*b(ba|b)+a*)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*|1*|0*1+0*1+0*|1*0+1*0+1*
Odd number of b's,(a*ba*b)*a*ba*,a*b(a*ba)*a*
Every b followed by two or more a's,(a|baa)*,((b*)aaa*)
Odd number of 1s,0*10*(10*10*)*,(0*1|(11)*|(101)*|111|1)
An even number of 1's,(0|10*1)*,(1|01*0)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a)*|(b)*baa(ab)*b+
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a*|b*aaa
Length 2 and 3,(0|1)(0|1)|(0|1)(0|1)(0|1),(0+1)|0
even prefix,(ab|ba)*,(ab)*(aa|bb)*(ba)*(a+b)*
Every b followed by two or more a's,(a|baa)*,((a|b)(a)(a)*)
Odd number of b's,(a*ba*b)*a*ba*,(a*b*ab*ab*)*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(a|b)(a|bb|ba(a|b))*(b|ba)
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0*(1)*0*
non isolated 'b',(a|(b*bb))*,b*(ba+ab)*b*
Odd number of b's,(a*ba*b)*a*ba*,(a|b)((a|b)(a|b))*
4 | #0,1*(01*01*01*01*)*,(0|1*)*(0000)
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(01|10)*
Every b followed by two or more a's,(a|baa)*,a|b(a)(a)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),0*|0((11*0)|0*)|1((00*1)|1*)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(ab|aa|bb|ba)*aaaa*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)(a|b*)aaa*
even number of 1's,(0*10*10*)*|0*,0*(10*10*11*)*
Every b followed by two or more a's,(a|baa)*,(a(a*b*(aa)a*)*)*
Odd number of b's,(a*ba*b)*a*ba*,(a|ba|bb)*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0*(0|1)0*
even number of 1's,(0*10*10*)*|0*,0*1(0*10*)+
even number of 1's,(0*10*10*)*|0*,0*1(0*10*)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,a*|b*(baa+)*b
Odd number of b's,(a*ba*b)*a*ba*,b*(ab*ab*)*
even number of 1's,(0*10*10*)*|0*,1+0(0+1)((1+0)(1+0))*
first and third,a(a|b)a(a|b)*,(a(a|b)a)*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(a|b)a*b(a|b)
Odd number of b's,(a*ba*b)*a*ba*,b(bb)*|(a)*
Odd number of b's,(a*ba*b)*a*ba*,(a)+(ab(bb)+)*
Odd number of b's,(a*ba*b)*a*ba*,"a*b|(bb{2,})*a*"
Odd number of 1s,0*10*(10*10*)*,(1(11))*|0*
even number of 1's,0*(10*1)*0*,(0*10*10*)*|0
Every b followed by two or more a's,(a|baa)*,(b)+(aa)*
non isolated 'b',(a|(b*bb))*,(a*(ba*b)*a*)*
Odd number of b's,(a*ba*b)*a*ba*,(b|a*)
non isolated 'b',(a|(b*bb))*,a*(b*(bb)*)*a*(b*(bb)*)*a*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(((a|b)+)?(baa)a*b)*
Every b followed by two or more a's,(a|baa)*,(b|aa)*(a)*
non isolated 'b',(a|(b*bb))*,a*b*(ba+ab)b*a*
Odd number of b's,(a*ba*b)*a*ba*,"a*b(b{2,})*a*"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(ab)*|(ba)*|(aa)*|(bb)*(aaa)
even number of 1's,(0*10*10*)*|0*,0*((1+1)*)
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*)?(a*ba*ba*ba*)*
Odd number of 1s,0*10*(10*10*)*,1*((1*)?)*|0*
Odd number of 1s,0*10*(10*10*)*,0*1*0*1*0*1*
even number of 1's,(0*10*10*)*|0*,0*01*0*10
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)*(baa)(b)(a|b)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*1*0*1*0*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,((a*|b*)(a*|b*))aaa
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*bb*)*
first and third,a(a|b)a(a|b)*,a+(a|b)+a+(ab)*
3 | #0,1*(01*01*01*)*,(1*01*01*0*1*)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(baa)*b
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(a?)|((a|b)a*b(a?))
Every b followed by two or more a's,(a|baa)*,b*a*(aa)
contains 'bab',(a|b)*(bab)(a|b)*,a*(b|aba)*
Odd number of 1s,0*10*(10*10*)*,(0)*(111*)(0)*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a+|a*b*
non isolated 'b',(a|(b*bb))*,(a)*(b)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1*(0+1+)*
Odd number of b's,(a*ba*b)*a*ba*,(a|b(a)*a)*b(a)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(1+0*1+)*|(0+1*0+)*|1*|0*
Odd number of 1s,0*10*(10*10*)*,(0*1|(11)*|(101)*)
Odd number of b's,(a*ba*b)*a*ba*,a*b((ba*|a))a*
Every b followed by two or more a's,(a|baa)*,a*baa*a*
Every b followed by two or more a's,(a|baa)*,"(a|b)*a{2,}"
Every b followed by two or more a's,(a|baa)*,(a)*((b)+(aa)+)*
Odd number of 1s,0*10*(10*10*)*,((1+)+)|0*
Odd number of 1s,0*10*(10*10*)*,1+(0*)+(11*)+(0*)
even number of 1's,(0*10*10*)*|0*,0*10*1*0*(1)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a|b+aaa
even number of 1's,(0*10*10*)*|0*,0*11+0*
Every b followed by two or more a's,(a|baa)*,(a*)+(b*)+a+a
Odd number of b's,(a*ba*b)*a*ba*,b*ab*ba*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a*b*aaa)*
Odd number of 1s,0*10*(10*10*)*,1|(111)*|01|10
non isolated 'a',(b|(a*aa))*,(a+b*bb)*
even prefix,(ab|ba)*,(aa+ab+ba+bb)*
Length 1 or More,(0|1)(0|1)*,1*0*1*0*1*0*1*0*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0+1*0+|1+0*1+)*|0*|1*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),1*(10*1)*1*|0*(01*0)*0*
Every b followed by two or more a's,(a|baa)*,a*b*(aa)a*
non isolated 'b',(a|(b*bb))*,(bb)*|(a+b)*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,(0+1*0*1*0+)*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,0(0|1)0*
Every b followed by two or more a's,(a|baa)*,"a*b*a{2,}"
non isolated 'b',(a|(b*bb))*,b+(a+b)*b
Odd number of b's,(a*ba*b)*a*ba*,a*ba*|a*bbb*a*
Odd number of b's,(a*ba*b)*a*ba*,b+((bb)*(a)*)*
non isolated 'b',(a|(b*bb))*,(a+b)*(b+b+)(a+b)*
Odd number of 1s,0*10*(10*10*)*,(0*1(11)*0*)|(111)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0*1*)*0)|1(0*1*)*1?
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(1+0*1+)*(0+1*0+)*
Odd number of 1s,0*10*(10*10*)*,0*(111)*(1)*
even prefix,(ab|ba)*,(ab|ba?)(aa|ab|ba|bb?)*
Odd number of 1s,0*10*(10*10*)*,(0(1*)00)
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*b)*|((a|b)a*ba)*|((a|b)a*ba(a|b)a*b)*)?
first and third,a(a|b)a(a|b)*,(a(a+b)a)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,aa|ab|ba|bb(a|b)*aaaa*
non isolated 'b',(a|(b*bb))*,a*b+
even prefix,(ab|ba)*,(aa*bb*)*(aa+bb)*
Odd number of 1s,0*10*(10*10*)*,[0-1]([0-1][0-1])?
even prefix,(ab|ba)*,(a|aa)*(b|bb)*
non isolated 'b',(a|(b*bb))*,a*b*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,b*a*aaa
Every b followed by two or more a's,(a|baa)*,((b)*(a)+(a+))+
Three Choices (Regex),001|1010|110,1*0*011*
Every b followed by two or more a's,(a|baa)*,"(a*|b*)a{2,}"
Every b followed by two or more a's,(a|baa)*,(a)*(bbb)*((a)*(bbb)*)*
Odd number of b's,(a*ba*b)*a*ba*,(b|(ab|ba)+)b
non isolated 'b',(a|(b*bb))*,(bb*)+(bbb)*
Odd number of 1s,0*10*(10*10*)*,((11)*1|0*)
Odd number of 1s,0*10*(10*10*)*,1|1*
non isolated 'b',(a|(b*bb))*,(b)*(a|b)(b)*
Odd number of b's,(a*ba*b)*a*ba*,b|(a|b)(bb|a*|ba*b)*a*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(a|b)(a|ba(a|b))*(b|ba)?
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a+(b)*(a)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,[ab]*(baa)b*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a*b*a+
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,(a*|(b*aa*)*)
even number of 1's,(0*10*10*)*|0*,0?(0*|1)01*
even prefix,(ab|ba)*,((ab)*(ba)*)|abb*ba
Odd number of 1s,0*10*(10*10*)*,(((1?)*|(11?)*)|(111?)*)
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a*b*
"{0^k s 0^k | k >= 1, s in {0,1}*}",0(0|1)*0,(01*0*1*0)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0(0|1)*0)(1(0|1)*1))?
non isolated 'b',(a|(b*bb))*,a((ab)|(ba))*
Odd number of b's,(a*ba*b)*a*ba*,a|b(a*|ab*ab*)
Odd number of b's,(a*ba*b)*a*ba*,(b(a)*(bb)*)*
Odd number of 1s,0*10*(10*10*)*,(1(11))*
even prefix,(ab|ba)*,(ab|ba)(ab|ba)*(aa|ab|bb|ba)*
non isolated 'b',(a|(b*bb))*,a*|(ab)*|(ba)*
non isolated 'b',(a|(b*bb))*,(b+a)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),1*(0+1+0*)|0*(1+0+0*)*
Every b followed by two or more a's,(a|baa)*,abaa*
Odd number of b's,(a*ba*b)*a*ba*,a*(b|(b((a*b{2})+a*))+)a*
non isolated 'b',(a|(b*bb))*,a*b*(b+ab+ba+b*)*b*a*
even number of 1's,(0*10*10*)*|0*,(01)*(10)*
Odd number of b's,(a*ba*b)*a*ba*,"a*(b|bb{2,})*a*"
Length 1 or More,(0|1)(0|1)*,0*1*0*1*0*1*0*1*0*1*0*1*0*1*0*1*0*1*0*1*
Odd number of 1s,0*10*(10*10*)*,1+(11)*
even number of 1's,(0*10*10*)*|0*,(0+1)*11
Odd number of 1s,0*10*(10*10*)*,[0-1]([0-1])?([0-1])?
Every b followed by two or more a's,(a|baa)*,a*|baa*
non isolated 'b',(a|(b*bb))*,(b?)*b(a|b)*|(a|b)*b(b?)*
Odd number of b's,(a*ba*b)*a*ba*,(b*(bb)*a*(bb)*)ba*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(01)*(10)*
Length 1 or More,(0|1)(0|1)*,(01)|(01)*
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(((a|b)a*b)(a(a|b)a*ba)*)?
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*)+(a*ba*ba*)
Odd number of 1s,0*10*(10*10*)*,(((1*)?)|((11*)?))|((111*)?)
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(0+1+0+)*|(1+0+1*0+1+)*|1*|0*
Every b followed by two or more a's,(a|baa)*,"(a*ab{2,})*"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|ba|b)a*aaa
Odd number of b's,(a*ba*b)*a*ba*,(a)*(ba)*((ba)*(ba)*)*
Odd number of b's,(a*ba*b)*a*ba*,(a*(b)((a)*bb)*(a)*)|(a*)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a*b*)a{3}
Odd number of 1s,0*10*(10*10*)*,0*1*
first and third,a(a|b)a(a|b)*,a(a+b)a(a|b)*
Odd number of 1s,0*10*(10*10*)*,1+(11*)
Odd number of b's,(a*ba*b)*a*ba*,((aa)|(ab)|(ba)|(bb))*b
non isolated 'b',(a|(b*bb))*,a*b*(ab+ba)*b*a*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(b|a)*baa*(b|a)b
Odd number of b's,(a*ba*b)*a*ba*,(((a*)*b)*b)*((a*)+b)
Odd number of b's,(a*ba*b)*a*ba*,b(a|b)*
Every b followed by two or more a's,(a|baa)*,"[ab]*b?a{2,}"
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,ab|ab*aaa
Odd number of b's,(a*ba*b)*a*ba*,(a|bb)*b+a*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0*(0+1*0+|1+0*1+)*0*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,aaa+
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0(0|1)*0)|(1(0|1)*0)
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,aa*b*a*
Odd number of b's,(a*ba*b)*a*ba*,(a*(bb(a*))*b)*
Every b followed by two or more a's,(a|baa)*,a*(b*aa)*a*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,"a|ba{3,}"
non isolated 'b',(a|(b*bb))*,b*a*ba*b*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),(101)*|(010)*
Odd number of b's,(a*ba*b)*a*ba*,(a*ba*b*b)*
"Same number of occurances of ""01"" and ""10""",(0(0*|1+0)*)|(1(1*|0+1)*),0*|00*|11*|11*00*11*|00*11*00*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(aa|bb)*aaa+
even prefix,(ab|ba)*,(aa|bb|ab)*
Odd number of 1s,0*10*(10*10*)*,1(1?)*|0*
Odd number of 1s,0*10*(10*10*)*,1*|((0|1)1(0|1))*
Three Choices (Regex),001|1010|110,001|110|10101
Every b followed by two or more a's,(a|baa)*,a*(b*aa)*a
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a|b)+b*aa+b+
non isolated 'a',(b|(a*aa))*,(b*|a+ab*|aa+b*)(b*|aa*b*|a+ab*)(b*|aa+b*|a+ab*)
HW2-#1e: NFA to REX,((a|b)a*ba)*(((a|b)a*b)?),(a|b)?a*b(a|b)
Odd number of 1s,0*10*(10*10*)*,0*(1(11)*0)*
Length 1 or More,(0|1)(0|1)*,(0|1)|(0*|1*)
Every b followed by two or more a's,(a|baa)*,((a*)|(ba(a)*))
even number of 1's,(0*10*10*)*|0*,0*1*0*1*1*0
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,0|1|(01|10)*
Odd number of 1s,0*10*(10*10*)*,(0*1|10*|0*111+|111+0*|0*10*)
Odd number of 1s,0*10*(10*10*)*,(1(11)*|0*)(1(11)*|0*)(1(11)*|0*)
Odd number of 1s,0*10*(10*10*)*,1|(0|1)*1(0|1)1*0*
Every b followed by two or more a's,(a|baa)*,"ab*b?a{2,}"
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0(1*0*)*0)|(1(1*0*)*1))*
Non-empty sequence of a's or sequence of b's followed by sequence of a's,b*a*,a+b*a*
Odd number of 1s,0*10*(10*10*)*,0*1+0*
even prefix,(ab|ba)*,(ab+ba)*(aa+bb)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a*b*)a{3}a*
Every b followed by two or more a's,(a|baa)*,"b*a{2,}"
non isolated 'b',(a|(b*bb))*,(a+b)*(bb+bbb)*(a+b)*
Odd number of 1s,0*10*(10*10*)*,1+0
Odd number of 1s,0*10*(10*10*)*,1*[11]*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(10|01)*(10|01)*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((0+1+0+)|(1+0+1+))*
Every b followed by two or more a's,(a|baa)*,[a-b]*[b]+a{2}
non isolated 'b',(a|(b*bb))*,a*bb*a*bb*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,(0*1+0+)*(1*0+1+)*
even number of 1's,(0*10*10*)*|0*,(01*01*)*
non isolated 'b',(a|(b*bb))*,(ab*b)|(a*)
non isolated 'a',(b|(a*aa))*,(b*(aa?))*
Odd number of b's,(a*ba*b)*a*ba*,(b)((a|b)(a|b))*
even number of 1's,(0*10*10*)*|0*,0*0?|111*
first and third,a(a|b)a(a|b)*,(aaa|aba)*
non isolated 'b',(a|(b*bb))*,a*b*a*b*
contains 'bab',(a|b)*(bab)(a|b)*,(ab)*
non isolated 'b',(a|(b*bb))*,(a+b*bb*)*
Odd number of 1s,0*10*(10*10*)*,(((1+)+)|0)|0*
Every b followed by two or more a's,(a|baa)*,a*b(aa)*
first and third,a(a|b)a(a|b)*,(a(a+b)a)
Odd number of b's,(a*ba*b)*a*ba*,a*(b(bb)*)*a*b(bb)*a*
even number of 1's,(0*10*10*)*|0*,0*1(0*|1)1
non isolated 'b',(a|(b*bb))*,(a*b)*
Odd number of 1s,0*10*(10*10*)*,0*1*0*10*1*
Odd number of b's,(a*ba*b)*a*ba*,(a|b)*b
Odd number of b's,(a*ba*b)*a*ba*,((b)(a))*
non isolated 'b',(a|(b*bb))*,a*(b+)*a*
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,1*(10|01)*(10|01)*
Every b followed by two or more a's,(a|baa)*,"(a|b)*b*a{2,}"
Odd number of b's,(a*ba*b)*a*ba*,((b)(a))+
Odd number of b's,(a*ba*b)*a*ba*,a*|b(bb*|a*)*
non isolated 'b',(a|(b*bb))*,(ab|ba|b)*
Contains baa and ends with b.,(a|b)*baa(a|b)*b,(a*b*(baa+)+a*b*)*b+
Odd number of 1s,0*10*(10*10*)*,(0*1|10*|0*111+)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a*(b*aaaa*)*
Odd number of b's,(a*ba*b)*a*ba*,(a|bb|b)*b
even prefix,(ab|ba)*,ab*
non isolated 'b',(a|(b*bb))*,a*(b+a)*(bb)*(b+a)*
even number of 1's,0*(10*1)*0*,(0*10*10*)*
Odd number of b's,(a*ba*b)*a*ba*,bb*b+
even number of 1's,(0*10*10*)*|0*,(0*|(01)*)*
Odd number of b's,(a*ba*b)*a*ba*,a*ba*|a*bbb*a
Odd number of 1s,0*10*(10*10*)*,0*1|1*
Odd number of b's,(a*ba*b)*a*ba*,b*(a*|bb*)
even number of 1's,(0*10*10*)*|0*,(0*10*1)*(01)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,ab*aaa
Odd number of 1s,0*10*(10*10*)*,(11)*0*(11)*0*1*0*(11)*
even number of 1's,(0*10*10*)*|0*,(1)+(01)+
Odd number of b's,(a*ba*b)*a*ba*,a*b((ba|a)*b)a*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,(a|b)(a|b)aaa*
non isolated 'b',(a|(b*bb))*,a*|(a*b*)
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,"a|b{2,}a{3,}"
Three Choices (Regex),001|1010|110,((001)|(10101)|(110))
"Equal number of occurrences of ""01"" and ""10""",((0(0*|(1+0))*)|(1(1*|(0+1))*))?,((1+0*1+)*|(0+1*0+)*)*|0|1
Odd number of b's,(a*ba*b)*a*ba*,(a*|b+)bb*|a*
Every b followed by two or more a's,(a|baa)*,(a*b*(aa)a*)*
Every b followed by two or more a's,(a|baa)*,a*(b(aa)*)a*
Odd number of 1s,0*10*(10*10*)*,(0)*(111)*(0)*
Odd number of b's,(a*ba*b)*a*ba*,aa(b*|ba)
non isolated 'b',(a|(b*bb))*,(b?)*b*(b?)*
"Two or more symbols, followed by at least three a's",(a|b)(a|b)+aaa+,a*(baaaa*)*
non isolated 'b',(a|(b*bb))*,b*b|bb*
even prefix,(ab|ba)*,(ab+ba?)*
non isolated 'b',(a|(b*bb))*,((a|b)*(ab|b)b)*
Odd number of 1s,0*10*(10*10*)*,0*(11)*0*10*|0*
even number of 1's,(0*10*10*)*|0*,(00*10*1)*(01)*
